,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,9.4095e-07,0,0,0.44243999999999994,0,0,0,0,0,0.032099,0.66325,0.61124,2.8648e-05,0,2.1195000000000002e-15,2.2793e-06,0,0,0,0.046641,1.0131e-07,0.40504,0.00023768,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,3.93818884148304
1,0,2.1439000000000003e-05,0,0,0.24213,0,0,0,0,0,0.09260800000000001,0.89625,1.3151e-07,0.0073405,0,1.0081000000000001e-11,0.031945,0,0,0,0.027808999999999997,7.1163e-07,0.95219,0.2194,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,6.453444737279316
2,0,7.053300000000001e-06,0,0,0.0010720999999999999,0,0,0,0,0,0.045001,5.4223e-05,0.40425,0.00065559,0,0.62465,4.0435e-12,0,0,0,0.8305299999999999,0.0071256,0.21278000000000002,1.2757,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,15.024848322706148
3,0,1.3456,0,0,1.6219999999999999,0,0,0,0,0,2.2806e-10,0.3595,0.0019884,1.5763e-13,0,3.7129e-07,1.4334,0,0,0,7.3441e-16,8.9087e-06,0.32013,0.9687399999999999,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,2.1269731805915892
4,0,3.5910999999999996e-08,0,0,7.900799999999999e-07,0,0,0,0,0,3.2101e-06,0.11169000000000001,0.27914,9.0167e-08,0,1.6016e-09,0.43887,0,0,0,0.0091898,1.6011e-07,0.3254,0.81966,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,3.271680035548749
5,0,0.00298,0,0,3.5698e-05,0,0,0,0,0,1.5737,0.15035,0.95121,5.617e-10,0,0.42944,0.39655,0,0,0,1.3892,6.822e-11,2.3442e-08,1.4155,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,22.224768441969665
6,0,6.8805e-17,0,0,0.8134100000000001,0,0,0,0,0,3.1192,1.2363,0.007211399999999999,1.7065e-16,0,8.778299999999999e-21,1.286e-10,0,0,0,7.114199999999999e-14,3.3884e-07,1.0667,1.6968,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,6.161873217820811
7,0,0.43726000000000004,0,0,1.8064,0,0,0,0,0,0.85674,0.50134,7.8324e-08,1.5462000000000001e-06,0,2.6527e-08,2.7441000000000004e-10,0,0,0,0.40481,9.4185e-07,0.1842,0.83529,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,7.382593534707014
8,0,3.1267e-05,0,0,0.36943000000000004,0,0,0,0,0,3.5492000000000003e-06,0.14951,0.7053699999999999,2.2837e-09,0,3.8994e-08,0.33378,0,0,0,0.071352,8.5453e-06,1.0959,0.6160899999999999,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,7.629597009883938
9,0,9.131700000000001e-08,0,0,1.4679,0,0,0,0,0,8.364599999999999e-09,0.00020903,2.9093e-10,0.8603700000000001,0,1.6954e-10,4.5736000000000004e-05,0,0,0,0.1291,0.058065,0.98221,0.25784,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,16.851327513916527
10,0,3.6736,0,0,7.7965,0,0,0,0,0,4.7069,3.1014,3.2956,6.4676e-29,0,4.5169,0.35483000000000003,0,0,0,1.8387000000000002e-37,7.494e-07,2.7447e-51,2.3753,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,-3.1362232730026482
11,0,0.00067598,0,0,0.49188999999999994,0,0,0,0,0,0.21900999999999998,0.14198,0.32702,0.046113999999999995,0,9.7199e-06,0.4512,0,0,0,0.006402199999999999,0.017321,0.8234,0.33553,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,5.972611881805171
12,0,0.80669,0,0,0.48197,0,0,0,0,0,1.0864000000000001e-07,2.8137e-12,0.22011,6.002100000000001e-05,0,1.4945e-11,4.7618e-10,0,0,0,3.2919999999999996e-10,3.2695999999999995e-09,1.0754,0.72139,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,6.404722971487723
13,0,0.31243000000000004,0,0,0.17049,0,0,0,0,0,0.21839,0.38719000000000003,0.86866,0.038197,0,6.0729e-06,0.60678,0,0,0,0.43806999999999996,2.338e-07,0.057597,1.2351,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,8.662104064517408
14,0,4.1827e-05,0,0,0.65901,0,0,0,0,0,1.2012e-08,0.46493999999999996,1.245,8.2368e-09,0,2.8932e-07,0.054798,0,0,0,5.270600000000001e-07,6.3276e-08,0.66427,0.001231,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,4.344684043404614
15,0,0.72929,0,0,0.00012466,0,0,0,0,0,0.17245,1.4219e-10,3.8576999999999995e-06,2.2649e-08,0,5.597900000000001e-19,0.038041000000000005,0,0,0,1.9278e-12,0.20213,0.40168000000000004,0.97106,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,5.820416884615028
16,0,2.6449e-09,0,0,0.43937,0,0,0,0,0,0.23198000000000002,0.29044000000000003,0.63185,4.1977e-10,0,7.0795e-09,0.29370999999999997,0,0,0,1.3087999999999999e-05,4.5988e-09,1.3849,0.8491799999999999,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,7.8996707351090985
