,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,2.4565000000000002e-08,0,0,0.12427,0,0,0,0,0,0.022218,0,0,0,0.22524,2.4529e-12,0,1.0338,2.6195000000000003e-09,0,2.3021999999999997e-05,6.3493e-07,0.8317,0.056333,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,49.24777108347892
1,0,0.0006976,0,0,0.039705000000000004,0,0,0,0,0,0.14567,0,0,0,0.18423,1.3940999999999998e-09,0,0.93622,0.013555000000000001,0,0.00016563,1.0792999999999999e-07,0.72377,0.81253,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,48.56489245913082
2,0,1.4834000000000002e-07,0,0,1.8627e-08,0,0,0,0,0,5.381899999999999e-09,0,0,0,0.12845,6.1202e-12,0,0.95836,3.0441000000000002e-06,0,0.012969,0.00021756,0.2741,0.66495,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,46.0749842395376
3,0,0.10355999999999999,0,0,0.09143899999999999,0,0,0,0,0,0.0017678000000000001,0,0,0,0.00052435,4.8325e-11,0,0.92043,0.00056316,0,1.7319999999999999e-06,5.778200000000001e-10,0.29865,0.8714299999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.178853189172614
4,0,5.6771e-10,0,0,1.0334000000000001e-06,0,0,0,0,0,0.046093,0,0,0,2.6592e-10,0.00012298,0,0.71502,3.6749999999999997e-10,0,0.00093184,1.7633e-09,0.10181,1.0743,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.46504954413755
5,0,0.20801999999999998,0,0,1.2911999999999998e-08,0,0,0,0,0,0.016857,0,0,0,4.3784e-07,4.24e-10,0,0.8503799999999999,0.020783000000000003,0,1.7918e-05,2.0336e-07,0.00074337,0.86855,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,43.87257501848666
6,0,3.8049e-06,0,0,0.00040341,0,0,0,0,0,0.6351,0,0,0,0.10439000000000001,1.1354000000000001e-13,0,1.514,5.3856e-08,0,4.6503999999999996e-09,3.6504e-09,0.39173,0.7622399999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.95890851477263
7,0,0.24725999999999998,0,0,0.045418,0,0,0,0,0,0.0062099,0,0,0,1.2197e-07,1.4859e-08,0,1.125,5.957600000000001e-05,0,0.0013055,1.4765999999999999e-05,0.39605,0.65031,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.504992065932555
8,0,8.204600000000001e-07,0,0,0.067489,0,0,0,0,0,0.44108,0,0,0,0.18997999999999998,5.6595e-05,0,1.0739,2.4253999999999997e-10,0,5.225e-05,9.8429e-05,0.62927,0.86019,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,48.031076356367834
9,0,3.0666000000000005e-08,0,0,0.65878,0,0,0,0,0,1.7901e-08,0,0,0,0.278,7.1754e-10,0,0.82773,0.030926,0,0.53545,0.00076604,0.09515,0.55914,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,47.90843256228459
10,0,0.024902,0,0,0.080216,0,0,0,0,0,0.00067344,0,0,0,0.2807,1.0957e-09,0,1.2217,7.9063e-06,0,0.028985000000000004,6.147e-05,0.15299000000000001,0.79413,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,46.4116828610385
11,0,0.041839999999999995,0,0,0.31144,0,0,0,0,0,0.4621,0,0,0,1.6450999999999998e-09,6.4676e-08,0,1.0757,2.9873e-10,0,5.677300000000001e-09,6.3266e-09,1.0237,0.68429,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,48.358862260984694
12,0,0.00043265,0,0,5.5525000000000004e-09,0,0,0,0,0,0.0019527000000000001,0,0,0,1.0279000000000002e-07,5.246e-07,0,1.0274,8.206299999999999e-07,0,1.5906e-10,3.7148000000000004e-07,0.24043,0.8737799999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.86760242079754
13,0,1.6737e-06,0,0,0.25006999999999996,0,0,0,0,0,0.11579,0,0,0,3.9008e-06,1.0543e-10,0,1.0434,5.6179999999999994e-09,0,0.11862,1.7738e-10,0.075737,0.8418399999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.346365389221205
14,0,0.30305,0,0,7.799600000000001e-11,0,0,0,0,0,6.8177e-06,0,0,0,0.17974,4.7225e-13,0,0.77989,9.493799999999999e-05,0,9.9453e-06,4.8691000000000005e-06,0.66478,0.77398,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,48.401674349394895
15,0,0.065775,0,0,1.4346000000000002e-08,0,0,0,0,0,0.00031897,0,0,0,0.0016494,1.6314999999999998e-09,0,1.0533,0.0001807,0,2.793e-05,0.00024002,0.62755,0.0035972,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,46.69974301184453
16,0,8.2661e-08,0,0,2.6918000000000003e-08,0,0,0,0,0,2.0538e-07,0,0,0,3.0362e-10,6.3339e-11,0,1.1353,1.3352999999999999e-08,0,1.356e-07,2.9814999999999997e-06,0.53852,0.47193999999999997,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,46.19585762169145
17,0,0.31240999999999997,0,0,0.22200999999999999,0,0,0,0,0,0.004411699999999999,0,0,0,0.008694200000000001,8.9782e-09,0,1.3412,1.9079e-05,0,0.24272,0.0014241,0.016862000000000002,0.73646,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.36834504646011
18,0,0.0045015,0,0,0.00073376,0,0,0,0,0,0.0018308,0,0,0,4.4947e-10,5.8035000000000005e-09,0,1.0058,5.5705999999999996e-08,0,6.068200000000001e-06,3.3978e-05,0.11913,0.74229,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.3090611891196
19,0,3.1423000000000004e-06,0,0,0.24356,0,0,0,0,0,0.26998,0,0,0,0.00056158,1.5543999999999999e-06,0,1.0918,9.6866e-06,0,1.2285e-07,2.3443e-06,0.44356999999999996,0.71882,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.63661974616051
20,0,3.7305e-09,0,0,0.28476,0,0,0,0,0,0.0074646,0,0,0,0.17114000000000001,0.04339,0,0.9576600000000001,1.1615e-06,0,0.0035354999999999996,6.1326e-10,0.76748,1.0134,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,48.52256604780185
21,0,0.016583,0,0,4.6799e-06,0,0,0,0,0,2.1635e-06,0,0,0,0.27366999999999997,5.574199999999999e-10,0,0.9657,1.1636e-10,0,3.1981e-09,2.3759e-05,0.25356999999999996,0.42823999999999995,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,46.98869969245306
22,0,1.6062e-10,0,0,0.74865,0,0,0,0,0,0.8094399999999999,0,0,0,2.0725e-07,7.4331e-09,0,0.8309799999999999,1.8806e-05,0,0.76991,5.2942e-12,0.68676,0.97365,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,49.45170381697525
23,0,0.011056,0,0,2.9201e-08,0,0,0,0,0,0.004831800000000001,0,0,0,3.7176e-11,0.0011010999999999998,0,0.7762899999999999,0.00048633,0,0.0019491,3.2016e-09,0.28635,0.8768299999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.2954327847373
24,0,0.11554,0,0,0.35439,0,0,0,0,0,0.055482000000000004,0,0,0,0.00040381,1.1904e-10,0,1.2288,1.7108e-05,0,0.006511100000000001,7.4764e-06,0.39909,0.22854000000000002,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.26982750682743
25,0,0.10092999999999999,0,0,0.044569,0,0,0,0,0,0.00013807,0,0,0,1.2125e-05,1.9419e-06,0,1.081,8.659e-05,0,3.7719e-08,8.099199999999999e-10,0.13952,0.62432,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.318242374333586
26,0,5.9141e-05,0,0,0.15888,0,0,0,0,0,0.0019939,0,0,0,3.1861000000000003e-06,1.0902e-05,0,0.83745,0.015550999999999999,0,0.035043,0.00023548,0.2766,0.85203,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45.22479480400916
27,0,0.011890999999999999,0,0,0.16071,0,0,0,0,0,0.18837,0,0,0,1.0654e-09,0.00099847,0,0.6247199999999999,2.9144e-08,0,5.6198e-07,6.5527e-06,0.025970999999999998,1.2605,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,44.07720018923171
