,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.3185e-06,0,0,0.10044,0,0,0.11637,0,0,0,0.5059600000000001,0.39441,0,0,1.3330999999999999e-08,0,1.0159,0,0,0.076609,2.2912e-08,0.0094251,0,0.0030413,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,27.564523247071634
1,0,1.4793e-07,0,0,4.7762e-07,0,0,0.036699,0,0,0,0.51334,0.14217,0,0,9.585299999999999e-14,0,0.98916,0,0,1.7805e-05,1.658e-05,0.34191,0,0.11027,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,30.576016241105926
2,0,5.3567e-05,0,0,0.009343700000000002,0,0,0.022881,0,0,0,0.22082,0.44966999999999996,0,0,1.2689e-12,0,1.0646,0,0,2.6209e-05,0.00017661,0.43973,0,0.0085491,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,29.916836386010438
3,0,0.10772000000000001,0,0,0.36923,0,0,1.7908e-10,0,0,0,0.29247,0.21597,0,0,1.4427e-12,0,1.0698,0,0,1.0249999999999999e-08,4.5614000000000004e-10,0.35153,0,0.3753,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,33.105019805841565
4,0,2.8596e-08,0,0,0.012381,0,0,1.4817e-09,0,0,0,0.26059,0.16625,0,0,8.984400000000001e-08,0,1.2579,0,0,6.9042e-08,2.0710999999999998e-07,0.57204,0,0.018394999999999998,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,30.379404873180974
5,0,3.058e-05,0,0,0.37242,0,0,6.5502e-05,0,0,0,0.32484,0.0013997999999999999,0,0,5.8233e-13,0,0.95945,0,0,1.3139e-12,0.00021014,0.48178000000000004,0,0.61688,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,36.596821020305875
6,0,1.9252e-05,0,0,0.18417999999999998,0,0,0.13474,0,0,0,0.52163,0.21853000000000003,0,0,5.5291e-12,0,1.0987,0,0,2.4117e-07,2.4035e-07,0.11832000000000001,0,0.043052999999999994,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,28.025398603700992
7,0,0.58189,0,0,4.5196e-06,0,0,4.0785e-14,0,0,0,0.42935,5.2142e-13,0,0,4.2324e-17,0,1.1557,0,0,7.0521e-10,0.0040192,0.40931999999999996,0,0.19114,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,31.609619291155294
8,0,4.058e-06,0,0,0.32035,0,0,0.49155,0,0,0,0.29552,0.32609,0,0,5.512100000000001e-09,0,0.71135,0,0,0.00033412,4.5103e-08,0.51698,0,0.027604000000000004,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,29.855483360104536
9,0,1.809e-06,0,0,0.00027451,0,0,0.48521000000000003,0,0,0,0.32935,0.010613,0,0,2.0491e-09,0,1.135,0,0,0.41091000000000005,3.4118e-11,0.21973,0,0.18419000000000002,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,30.617704932552666
