,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.00041233,0,0,0.3271,0,0,0.31379,0,0,0.094378,0.55999,0,0,0,3.1133e-11,7.189600000000001e-06,0.96419,0,0,0.19341,6.7156e-07,0.11164,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,31.708173886848613
1,0,1.0472000000000001e-07,0,0,2.1560000000000002e-08,0,0,0.22615,0,0,0.213,0.52554,0,0,0,1.5945e-13,6.3569e-05,0.9529700000000001,0,0,2.2504e-05,1.8547e-07,0.52459,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,33.68961471094672
2,0,1.1296e-05,0,0,6.9631e-05,0,0,0.048104,0,0,1.6636e-08,0.0077185000000000005,0,0,0,1.9488e-13,1.2876e-06,1.09,0,0,7.4189e-06,8.3879e-06,0.75649,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,35.1815920778296
3,0,0.12469000000000001,0,0,0.20426,0,0,2.7567e-09,0,0,4.2045e-05,0.35254,0,0,0,2.2370000000000003e-12,0.051354,1.1340000000000001,0,0,8.5564e-07,2.2078e-09,0.45793,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,33.507103667471426
4,0,1.4680000000000001e-08,0,0,0.038488,0,0,8.7161e-09,0,0,1.2702e-05,0.24063,0,0,0,3.0799e-07,0.0061288,1.1724,0,0,6.2287e-07,8.9815e-09,0.7569899999999999,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,35.14880324098101
5,0,0.0040272,0,0,0.15843,0,0,4.6494e-08,0,0,5.2224e-09,0.16588,0,0,0,2.3424e-11,0.07172200000000001,1.1863,0,0,1.4001e-10,2.4375999999999995e-07,0.6589,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,34.52482090943908
6,0,2.5781e-06,0,0,0.13444,0,0,0.15331,0,0,5.5732e-06,0.42963999999999997,0,0,0,8.719199999999999e-10,0.017281,0.93004,0,0,4.4425e-06,1.5402e-06,0.44795,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,33.432958025772685
7,0,0.16109,0,0,0.026208,0,0,8.581099999999999e-10,0,0,0.019430000000000003,0.057599000000000004,0,0,0,1.1613e-07,8.3287e-10,1.2201,0,0,1.3581000000000001e-08,1.7569e-05,0.59831,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,34.22110356916821
8,0,1.4385000000000002e-09,0,0,0.0038722,0,0,0.30778,0,0,0.012254000000000001,0.36646,0,0,0,1.0709000000000001e-07,1.5137000000000001e-05,0.96919,0,0,0.00017749,3.4019999999999996e-08,0.64861,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,34.10539765166601
9,0,8.999399999999999e-05,0,0,0.25997,0,0,0.1333,0,0,1.3355e-08,0.1835,0,0,0,2.755e-09,0.0007716,1.1269,0,0,0.22776,1.0006e-07,0.60263,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,34.71892989898337
