,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.9065e-05,0,0,0.58508,0,0,1.3203,0,0.44388999999999995,0,1.3366,0.010705,0,0,5.8477e-14,0,0.66869,0.0053519,0,0.36537,2.8533e-10,5.0663999999999995e-05,0.28457,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,21.43779171970512
1,0,0.00084885,0,0,0.093184,0,0,9.3624e-06,0,0.46234,0,0.42035,0.085949,0,0,7.9507e-12,0,0.9178799999999999,0.00017039,0,0.022288,8.939199999999999e-06,0.066376,0.5737300000000001,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.37665428173146
2,0,4.2442000000000004e-08,0,0,2.1493000000000003e-08,0,0,0.21748,0,5.1552e-07,0,0.14829,0.38458000000000003,0,0,1.7156e-09,0,0.9820200000000001,1.8465e-06,0,0.0086651,0.00045363,0.010376,0.79807,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,21.538310131113818
3,0,0.021832,0,0,0.16417,0,0,1.6074e-08,0,2.0299e-07,0,2.1523000000000002e-10,0.099137,0,0,3.7174e-11,0,0.99829,0.00025022,0,9.3256e-07,3.1725e-10,0.152,0.85819,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.30542031059971
4,0,1.2278000000000001e-10,0,0,1.4111000000000002e-10,0,0,1.8433000000000002e-10,0,0.42951000000000006,0,9.098700000000001e-07,0.30535,0,0,1.1734000000000001e-05,0,0.62183,1.4184e-10,0,0.12663,4.9439e-10,0.0020423,1.2712,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,23.386972709282954
5,0,0.006156399999999999,0,0,8.045399999999999e-07,0,0,1.2084000000000002e-07,0,0.47657,0,0.035886,0.047245999999999996,0,0,6.1184e-10,0,0.74961,0.017338,0,1.8454e-05,2.8716e-10,0.027814,0.84878,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.278392385683162
6,0,0.00011875,0,0,0.00037964,0,0,0.00056987,0,0.25884,0,0.18225999999999998,0.1479,0,0,2.5106e-10,0,1.2165,2.5146e-06,0,4.7475e-06,0.00022003,0.36613,0.50192,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.79622747142031
7,0,0.6208600000000001,0,0,0.09224500000000001,0,0,2.856e-09,0,0.19144,0,0.0011162000000000001,7.6516e-10,0,0,1.6994e-11,0,1.046,2.4093e-05,0,0.00014218,1.6507e-05,0.28307,0.55308,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.657728451386223
8,0,3.8013999999999997e-06,0,0,0.28972,0,0,0.059338999999999996,0,0.015188,0,0.18761,0.08732999999999999,0,0,0.00093375,0,0.82488,1.9435999999999998e-09,0,0.0035871,3.7421999999999995e-05,0.14332999999999999,1.0551,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.216976855826
9,0,2.6746e-09,0,0,0.72037,0,0,0.023305000000000003,0,2.7786e-10,0,0.00079509,6.0172e-07,0,0,3.8476999999999995e-10,0,1.0781,0.011375,0,0.35865,3.4005e-05,0.14924,0.5717399999999999,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,24.87453761693985
10,0,0.011482,0,0,0.28095,0,0,0.0088431,0,0.11539,0,0.1745,0.18417999999999998,0,0,4.861900000000001e-10,0,1.1892,3.072e-06,0,0.012837000000000001,1.7612e-06,0.067465,0.71218,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,21.942374834325975
11,0,0.30651,0,0,0.023791,0,0,0.54981,0,3.9577e-12,0,0.36019,0.3106,0,0,0.00012052,0,1.0993,2.4173000000000002e-11,0,1.1587000000000001e-08,0.00028281,0.11810999999999999,0.47489,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,20.736444864770284
12,0,0.00095434,0,0,3.0298999999999996e-09,0,0,1.3736e-06,0,0.20481,0,1.2277e-10,0.37133,0,0,3.4431e-07,0,0.9785,6.9426e-06,0,6.4912e-09,1.3923000000000002e-08,0.46957,0.6132,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,23.25852765248339
13,0,1.9368000000000002e-08,0,0,0.34973000000000004,0,0,0.16805,0,0.059724,0,0.20692,0.15718,0,0,8.6296e-12,0,1.0794,1.5941999999999998e-10,0,0.025624,5.1269e-11,0.016674,1.2772,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,21.532637035337423
14,0,0.008897,0,0,6.427e-13,0,0,0.51641,0,0.030541000000000002,0,0.33413000000000004,0.7217600000000001,0,0,1.6749e-14,0,0.75293,0.0006683,0,5.7752e-10,2.0111e-09,0.64768,0.1586,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.51207769159695
15,0,0.16752999999999998,0,0,1.4719e-06,0,0,6.680899999999999e-05,0,0.17851,0,0.0002617,0.19396,0,0,4.3842e-09,0,0.91909,0.0008667999999999999,0,7.6277e-05,9.2456e-05,0.30823,0.098661,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.8833185800414
16,0,0.00086223,0,0,1.3159e-06,0,0,0.13477999999999998,0,0.0044161,0,0.21939,0.10535,0,0,4.8009e-12,0,1.16,1.3152e-07,0,1.8322999999999998e-06,2.6735000000000003e-06,0.29341999999999996,0.67418,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.282422558978656
17,0,0.12430999999999999,0,0,0.29091999999999996,0,0,0.006622499999999999,0,0.00026647,0,0.43177,1.105e-08,0,0,1.1518000000000001e-10,0,1.1117,0.0011479,0,0.06566699999999999,0.0018172000000000002,0.011434999999999999,0.55852,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.34202262709232
18,0,0.011077,0,0,0.014138,0,0,0.009426299999999999,0,6.977e-06,0,0.0043415,0.15327000000000002,0,0,3.9135e-08,0,1.0404,8.347999999999999e-08,0,6.527999999999999e-06,2.0002e-05,0.078568,0.65391,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.14360847404948
19,0,2.4075999999999998e-05,0,0,0.156,0,0,0.034428,0,0.18153,0,0.20165,0.23818000000000003,0,0,2.7741e-07,0,1.0914,5.2659e-05,0,9.9389e-09,0.00015236,0.12625999999999998,0.596,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.077148076867402
20,0,6.5461e-07,0,0,0.0010745999999999998,0,0,0.51489,0,2.4159e-06,0,0.10683,0.0019227,0,0,0.08358,0,0.8346899999999999,0.0080459,0,0.032291,1.0068e-07,0.21688000000000002,0.72211,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,21.586992485052512
21,0,0.2704,0,0,4.8494e-07,0,0,0.014533,0,0.14570999999999998,0,0.082745,3.1335999999999996e-09,0,0,1.4212e-10,0,1.1511,3.6779e-12,0,1.73e-10,2.6681e-07,0.12637,0.51954,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.174564770973067
22,0,4.836100000000001e-05,0,0,0.14284000000000002,0,0,0.013822,0,0.00047806,0,0.00051407,0.5043,0,0,1.9181e-09,0,0.89965,1.1058e-06,0,0.0057427,1.8309e-09,0.24031,0.74739,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.642189407306635
23,0,0.006882699999999999,0,0,3.4946e-08,0,0,1.0962999999999998e-09,0,4.704e-06,0,0.0036707000000000003,0.036039999999999996,0,0,0.00083141,0,0.77559,0.00040313,0,0.0026588000000000002,2.5435e-09,0.33513000000000004,0.8439399999999999,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,23.090360314316435
24,0,0.11655,0,0,0.37688,0,0,0.004448,0,4.9108e-10,0,0.0020157,0.015944,0,0,8.8559e-11,0,1.2429,1.5532e-05,0,0.0035783,6.6057e-06,0.38649,0.24886,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.615808580689013
25,0,0.085296,0,0,0.042414999999999994,0,0,0.008425799999999999,0,5.014599999999999e-06,0,0.005407199999999999,0.00018138,0,0,1.1157e-06,0,1.0893,0.00010063,0,6.9251e-08,8.8083e-10,0.1269,0.62556,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.216697388345246
26,0,0.00053684,0,0,0.0012577999999999999,0,0,4.4447e-08,0,0.36935999999999997,0,0.00059923,0.00040762,0,0,7.2112e-06,0,0.72387,0.075602,0,0.0035424,3.3155999999999996e-08,0.61642,1.175,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,23.88078305169024
27,0,0.0040268,0,0,0.14643,0,0,2.2550999999999998e-11,0,3.1637e-11,0,0.005045399999999999,1.0764000000000002e-07,0,0,0.010217,0,0.61232,1.4854e-08,0,6.4906e-07,1.0290999999999999e-05,0.010115,1.2093,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,22.253886168617385
