,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.2488e-06,0,0,0.38798,0,0,0,0,1.8831e-11,0,0.6831699999999999,0.60552,3.6346e-05,0,1.722e-13,0,0,9.5588e-07,0,0.065772,3.5655e-07,0.40155,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,5.8668969132007724
1,0,9.4883e-08,0,0,0.23046,0,0,0,0,0.24733000000000002,0,0.8353,1.3246e-06,0.28254,0,1.1807e-12,0,0,3.5881e-06,0,0.02926,4.5704e-06,0.9126,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,9.189713549445035
2,0,0.051245000000000006,0,0,0.72551,0,0,0,0,0.047617,0,0.00026887,0.30831,2.1537e-07,0,1.3009000000000001e-09,0,0,1.2773e-06,0,0.08618200000000001,0.00014031,1.1731,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,7.618914888794169
3,0,0.40421,0,0,1.0667,0,0,0,0,0.20747,0,0.8436899999999999,0.16613,4.1901e-12,0,2.9572e-07,0,0,3.4355e-12,0,3.4666999999999996e-09,1.6352e-07,1.0558,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,5.4716321305980085
4,0,0.00064805,0,0,0.5129100000000001,0,0,0,0,5.495899999999999e-05,0,0.15536,0.5008100000000001,4.9905e-08,0,7.984e-08,0,0,2.0183e-07,0,0.00085827,0.00011966,1.0739,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,5.863120484356057
5,0,0.81477,0,0,1.2259,0,0,0,0,0.29091999999999996,0,0.36221,2.4619999999999998e-08,2.2093000000000002e-09,0,1.0813999999999998e-08,0,0,1.3943000000000001e-08,0,2.8693e-09,3.5305e-08,0.50321,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,4.264185139941608
6,0,2.8267e-06,0,0,0.96098,0,0,0,0,3.6061999999999996e-08,0,1.1263,0.85335,0.016959000000000002,0,1.981e-13,0,0,0.25797,0,1.1872e-10,9.0165e-10,0.47346000000000005,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,4.540311522526483
7,0,0.43833999999999995,0,0,0.54376,0,0,0,0,6.483e-05,0,0.011326000000000001,8.261900000000001e-06,0.033306,0,9.0172e-05,0,0,0.069077,0,0.00011598,0.026227999999999998,1.2507,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,7.061789020559826
8,0,0.06761,0,0,0.31955,0,0,0,0,0.3679,0,0.32566,0.59647,2.2693e-09,0,2.3187e-08,0,0,1.529e-07,0,0.0037213999999999997,1.4430000000000002e-06,1.0375,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,5.961285431787032
9,0,0.0053992,0,0,0.36849,0,0,0,0,0.007462300000000001,0,0.1074,3.7273e-08,0.00025755,0,3.3042e-08,0,0,0.00011325,0,0.2446,0.00021054,1.291,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,11.204620949703289
10,0,1.4883e-05,0,0,0.95196,0,0,0,0,2.2799e-08,0,0.029236,0.41753999999999997,0.0014981,0,6.5907e-05,0,0,0.00031361,0,0.0014460999999999999,2.8865e-07,1.0284,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,5.530150262761401
11,0,0.0030779,0,0,0.7813100000000001,0,0,0,0,8.5687e-12,0,0.25651999999999997,0.46542,0.00047152,0,0.00011936,0,0,4.045e-06,0,0.22829000000000002,0.00062774,0.35681999999999997,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,8.764928613369541
12,0,4.1572e-05,0,0,0.44833,0,0,0,0,0.43831000000000003,0,1.6092e-12,8.8333e-05,2.5482e-06,0,4.2395e-13,0,0,0.0045854,0,1.1562e-12,0.00028115,1.399,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,6.542225155503523
