,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,4.989899999999999e-07,0,0,0,0,0,0,3.568e-06,0,0,0.41363999999999995,0,3.1743000000000004e-05,0,6.1963e-10,0.00097158,1.0027,0.00057777,0,0.0024271,1.5827e-05,0.30951999999999996,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,38.8586626016237
1,0,1.7253e-08,0,0,0,0,0,0,2.3976999999999994e-11,0,0,0.46971,0,0.061402,0,2.5682e-10,1.7657e-05,1.0815,6.5587e-08,0,2.3301999999999998e-05,9.0873e-06,0.50045,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,40.27746107532803
2,0,2.1992e-05,0,0,0,0,0,0,2.742e-05,0,0,0.0020371,0,2.3061000000000002e-10,0,2.7735e-11,8.450299999999998e-07,1.1015,0.00017572,0,1.3379e-05,2.3149e-05,0.77837,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,40.96082631853407
3,0,0.03367,0,0,0,0,0,0,0.32315,0,0,0.30732,0,6.1525e-06,0,3.1307e-11,0.0087073,0.7401,6.7157e-08,0,0.00010103,3.8064000000000004e-09,0.55057,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,40.429553891990075
4,0,5.287600000000001e-07,0,0,0,0,0,0,0.40604,0,0,0.55891,0,8.550000000000001e-13,0,3.5148000000000005e-08,5.7315e-07,0.7762,5.4498999999999994e-05,0,1.1898e-05,8.194300000000001e-08,0.50102,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,40.11366691012178
5,0,0.00024861,0,0,0,0,0,0,0.11342999999999999,0,0,0.19948,0,1.3585999999999998e-09,0,8.1607e-11,0.067482,1.2481,1.5016e-07,0,1.9861e-09,1.836e-07,0.69307,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,40.27553814962052
6,0,3.0822000000000003e-06,0,0,0,0,0,0,0.13614,0,0,0.28515999999999997,0,6.3724e-06,0,2.7852e-10,0.048669,0.9835299999999999,5.101600000000001e-09,0,1.5822000000000002e-05,1.7205999999999998e-05,0.5122,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,39.84950459307201
7,0,0.3654,0,0,0,0,0,0,0.39662,0,0,0.18698,0,0.025428,0,3.0013e-08,1.3758e-08,1.3158,6.6296e-06,0,4.8113e-09,4.1768e-06,0.046222000000000006,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,37.23264838829641
8,0,3.8351000000000005e-09,0,0,0,0,0,0,9.4931e-08,0,0,0.54985,0,1.7987999999999998e-09,0,4.2565e-06,0.00063701,1.0539,2.063e-06,0,0.00015855,1.8453999999999998e-08,0.6933699999999999,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,40.62944667433483
9,0,0.0031899000000000003,0,0,0,0,0,0,0.0004934000000000001,0,0,0.2572,0,9.242e-08,0,4.4803999999999995e-09,0.0011298,1.1556,2.5287999999999998e-08,0,0.15178,7.8022e-08,0.9370700000000001,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,42.183227330098575
10,0,0.020954,0,0,0,0,0,0,0.0021712,0,0,0.010715,0,0.012909,0,8.669199999999999e-10,0.00033366,0.9857799999999999,3.6461999999999994e-07,0,0.013715,2.2198e-07,0.79037,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,41.40091419393826
11,0,0.24848,0,0,0,0,0,0,0.00021271,0,0,0.45975,0,2.1066e-06,0,0.00014946,0.0006358,1.3161,0.0023803,0,0.0023412,0.00012116,0.31154,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,38.32865915916271
