,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.10555,0,0,0,0,0,0,0.062189,0,0,0,0,0,0,0.15897,0.52174,0,0,0,0,0,0,0,0.31449,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7713726722574867
1,0,0.031577,0,0,0,0,0,0,0.48886,0,0,0,0,0,0,0.20856999999999998,2.2871e-05,0,0,0,0,0,0,0,1.0981,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7393895403054689
2,0,0.21519000000000002,0,0,0,0,0,0,0.31059000000000003,0,0,0,0,0,0,0.00012122,0.70324,0,0,0,0,0,0,0,0.21528000000000003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7754219397769923
3,0,1.2943,0,0,0,0,0,0,0.22501,0,0,0,0,0,0,0.0099252,0.033138,0,0,0,0,0,0,0,0.46166999999999997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7653655036906002
4,0,1.1027,0,0,0,0,0,0,0.77799,0,0,0,0,0,0,4.0188000000000005e-07,0.0086598,0,0,0,0,0,0,0,0.99659,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7435326825885553
5,0,0.23356999999999997,0,0,0,0,0,0,0.78052,0,0,0,0,0,0,3.6222e-08,0.42746999999999996,0,0,0,0,0,0,0,1.1141,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7387364984718625
6,0,0.14492,0,0,0,0,0,0,0.27653,0,0,0,0,0,0,6.3835e-09,0.00060146,0,0,0,0,0,0,0,0.85485,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7493178169320157
7,0,0.89289,0,0,0,0,0,0,0.78374,0,0,0,0,0,0,0.21188,0.14662,0,0,0,0,0,0,0,0.00018119,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7842012223575515
8,0,1.1318,0,0,0,0,0,0,0.8285,0,0,0,0,0,0,0.036759,3.5888e-05,0,0,0,0,0,0,0,0.25453000000000003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7738199465289266
9,0,0.2905,0,0,0,0,0,0,0.70618,0,0,0,0,0,0,0.011732,0.14781,0,0,0,0,0,0,0,0.66977,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.7568718783422573
