,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.00030148,4.4058e-08,0,0,0,0.34308,0,7.9316e-06,0,0,0,0,0,0,2.3274e-12,0.012251999999999999,1.1731,1.9211e-07,0.29334,2.6536e-07,8.235200000000001e-08,0.56248,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,42.816444031124576
1,0,5.2532e-10,0.032175999999999996,0,0,0,0.38709,0,2.5762e-10,0,0,0,0,0,0,4.9109e-08,1.7318e-05,1.0073,5.8263e-06,0.048941000000000005,4.014e-07,4.4283e-06,0.6098100000000001,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,40.5417751816708
2,0,0.0014751,0.23088000000000003,0,0,0,0.0021197,0,1.0199e-05,0,0,0,0,0,0,5.0507e-12,0.00015431,1.0191,0.0042541,0.020416999999999998,9.8275e-06,7.2551e-06,0.64725,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,40.72048883616341
3,0,0.0011087999999999998,7.2605e-09,0,0,0,0.44319,0,0.0052895,0,0,0,0,0,0,4.222600000000001e-11,0.1321,1.1358,6.223e-07,0.0015894,0.00016397,2.1561999999999996e-09,0.32509,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,38.58344154324979
4,0,1.3763e-08,0.020599,0,0,0,0.13624,0,0.006616400000000001,0,0,0,0,0,0,1.6858e-06,0.096104,1.2645,8.401e-06,0.042823,2.1683000000000004e-07,2.9453999999999997e-08,0.69852,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,40.50119843758648
5,0,9.59e-06,7.9596e-09,0,0,0,0.57896,0,0.06836,0,0,0,0,0,0,2.6789e-12,0.0052243,1.4076,3.9115e-11,0.11914000000000001,4.4225e-11,8.9672e-08,0.54732,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,40.02791740242772
6,0,0.00015917,4.9592e-08,0,0,0,0.07926699999999999,0,0.11550999999999999,0,0,0,0,0,0,4.6333e-08,0.09488300000000001,1.1865,4.6196e-09,0.06377200000000001,4.2717e-05,0.0027245999999999998,0.43217,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,39.990634140939626
7,0,0.0078028,0.0003632,0,0,0,0.095881,0,0.27514,0,0,0,0,0,0,2.9081e-07,0.00012228,1.2333,0.0018896000000000002,0.46871999999999997,3.3742e-08,8.724700000000001e-05,0.16699,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,43.37777898001349
8,0,0.20473,0.00023788,0,0,0,0.42773999999999995,0,0.11495999999999999,0,0,0,0,0,0,0.0015271,1.7477999999999998e-07,1.4805,1.0093e-06,0.401,2.6671e-12,1.0914e-08,0.11597,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,41.56779010895186
9,0,0.023247,1.8888e-08,0,0,0,0.69238,0,7.4466e-06,0,0,0,0,0,0,6.9021e-07,0.00022744,1.4014,2.318e-05,3.8334e-06,0.0045797,8.4035e-09,0.50003,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,38.374437058898174
10,0,0.0046102,6.0777e-07,0,0,0,0.44922,0,8.3659e-08,0,0,0,0,0,0,7.5314e-09,1.3799000000000001e-06,0.9151299999999999,1.8485e-10,0.0011748,0.026445999999999997,1.3368000000000002e-07,0.60496,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,39.932443590501926
11,0,0.097099,7.8432e-09,0,0,0,0.00021537,0,2.385e-06,0,0,0,0,0,0,4.7577e-09,3.6355e-05,1.4048,2.3254e-08,1.7065999999999999e-09,0.00010609,7.559200000000001e-09,0.88446,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,40.5549963458397
12,0,4.2313000000000005e-09,0.012899,0,0,0,0.0008224,0,5.3767e-07,0,0,0,0,0,0,2.5208e-12,1.4753e-05,1.101,5.4758e-10,0.051119,7.5378e-08,5.2147e-08,0.9565600000000001,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,42.06948695291113
13,0,0.024935,0.084239,0,0,0,0.45953999999999995,0,0.025565,0,0,0,0,0,0,8.571700000000002e-11,1.0732999999999999e-05,1.4623,0.00014476,0.012629000000000001,0.00032334,1.1859000000000002e-07,0.70296,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,39.417311852680044
14,0,5.491e-09,0.00018138,0,0,0,0.25754,0,8.9647e-05,0,0,0,0,0,0,1.0058e-06,0.087323,0.97614,1.7316e-08,0.00050177,9.8641e-05,3.7275999999999996e-08,0.72304,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,40.620187651244436
15,0,0.28048,0.00034441,0,0,0,0.3149,0,6.8739e-05,0,0,0,0,0,0,1.2641e-09,0.08752599999999999,1.1056,0.00069652,0.0076145,0.00046152,1.0758e-06,0.46147,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,39.36368240567084
16,0,0.006505199999999999,0.07761699999999999,0,0,0,0.72505,0,0.08354199999999999,0,0,0,0,0,0,5.8252e-11,4.133e-06,0.77615,0.00023325,3.7131e-07,0.00020344,7.5445e-05,0.25346,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,38.782132435772255
17,0,3.9546e-10,0.077498,0,0,0,0.56808,0,2.5712e-10,0,0,0,0,0,0,5.4774e-12,1.3879e-08,1.0591,6.3945e-06,4.4232e-09,1.783e-05,9.1681e-10,0.46688999999999997,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,39.14879280346955
18,0,0.14409,0.00018914,0,0,0,0.5978399999999999,0,4.1449e-06,0,0,0,0,0,0,2.6534e-12,7.5504e-08,1.0334,0.00035331,0.0047629,0.0105,9.9062e-10,0.29035,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,38.48249538854955
19,0,3.6614e-06,4.3728e-08,0,0,0,0.85055,0,6.3693e-10,0,0,0,0,0,0,3.2201e-12,3.9222e-10,1.0985,3.5056e-09,0.21361999999999998,1.7924000000000002e-06,1.1925e-08,0.43716000000000005,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,41.08963767007271
20,0,0.14824,0.012631999999999999,0,0,0,0.49317,0,0.13504000000000002,0,0,0,0,0,0,1.1837e-05,9.5505e-06,0.62954,5.957e-09,8.5508e-05,0.00017837,6.2235e-10,0.8719,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,41.67950640334601
21,0,1.8515e-09,1.6037e-08,0,0,0,0.57287,0,0.00024725,0,0,0,0,0,0,4.2997e-11,0.00033132,1.1108,7.4601e-11,0.019203,1.4979e-09,6.0564e-06,0.39757,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,38.98568142286518
