,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.40159,0.0077845,0,0,0,0.42491999999999996,0.52554,0.00029256,2.9730000000000004e-12,0,0,0.29035,0,0,7.5318e-13,0.0023694000000000002,0,1.1492000000000001e-05,0,4.6919e-07,2.3041e-09,0.81085,0,0.46396000000000004,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,6.322958418847191
1,0,5.7029e-07,1.2567e-07,0,0,0,0.9705799999999999,0.017266999999999998,5.1974e-06,0.1094,0,0,0.43096,0,0,2.0099000000000002e-05,0.0018361,0,0.34258,0,3.8392e-10,8.9298e-06,0.37166,0,0.30049000000000003,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,4.9179857800868945
2,0,1.2989e-05,3.5241e-09,0,0,0,0.9526399999999999,1.5515,0.48857,0.00076142,0,0,0.452,0,0,0.67335,1.4712,0,0.91894,0,0.29273000000000005,2.8368e-17,0.013134999999999999,0,6.4509e-08,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0.44252032086159065
3,0,5.7324000000000004e-08,5.0146000000000004e-09,0,0,0,0.48904,0.00017055,1.0410999999999999e-05,6.4183000000000005e-09,0,0,1.0031,0,0,0.07545,0.20711,0,9.1443e-09,0,0.050091000000000004,0.0043806,0.43818,0,0.093972,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,4.804758231024583
4,0,0.68511,3.8225e-11,0,0,0,1.5513,0.002058,5.2451e-10,6.3642e-07,0,0,1.0301,0,0,3.3308e-11,0.58906,0,0.00072302,0,6.223799999999999e-08,0.000285,0.29384,0,2.8106999999999997e-11,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,2.1984415279257337
5,0,0.14604,2.9231e-07,0,0,0,1.3041,0.48258999999999996,2.5587e-08,0.01042,0,0,0.49062,0,0,4.0676e-08,0.012929,0,8.2512e-13,0,4.3093e-10,1.2474e-10,1.1284,0,2.3478e-06,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,3.339978853804128
6,0,0.0040421,0.00014555,0,0,0,0.28862,0.56752,0.0090086,0.0024713,0,0,0.48844,0,0,5.872200000000001e-10,0.0011074000000000001,0,0.32836,0,0.1502,1.6396999999999998e-08,1.2356,0,0.13656,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,6.671175478777028
7,0,0.2882,0.48222,0,0,0,1.0692,0.5026,0.25111999999999995,0.44371000000000005,0,0,0.00014311,0,0,0.032649,7.3556e-07,0,2.1176e-05,0,7.8908e-10,9.0835e-05,0.21261999999999998,0,0.35291999999999996,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,3.3962885057482213
8,0,0.80109,2.4261e-10,0,0,0,0.85559,0.83367,1.0991,2.0616e-10,0,0,0.8165,0,0,1.0679999999999999e-11,1.5017e-07,0,1.5187e-06,0,2.7727e-14,1.4572e-08,0.44876000000000005,0,3.9288e-05,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0.8864413743086859
9,0,7.7972e-08,0.49718999999999997,0,0,0,0.47576999999999997,0.89581,1.8788e-10,1.2064e-06,0,0,7.1738e-09,0,0,2.1628e-05,0.00013617,0,0.00010776,0,0.3981,4.9186e-09,0.16085,0,0.32123,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,6.229054284126865
10,0,0.0018697,8.269299999999999e-09,0,0,0,0.80173,0.21800999999999998,1.3848e-12,1.859e-10,0,0,0.64289,0,0,0.00071257,0.018963999999999998,0,2.1765999999999998e-11,0,0.32538,1.9291e-06,0.40698,0,1.4541999999999999e-08,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,5.6106680729402445
11,0,1.4092999999999999e-05,5.0891000000000005e-05,0,0,0,0.9613299999999999,0.3137,3.4799e-12,6.122e-10,0,0,0.28806,0,0,6.931600000000001e-08,4.4174e-07,0,1.2095999999999999e-05,0,0.46896000000000004,9.7057e-11,0.23938,0,0.44913000000000003,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,9.012700610293114
