,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.24928000000000003,0.70138,0,0,0,0.39541,0.64937,0,0.0041192,0,0,0.10417,0.6536,0,3.0919e-12,0.089418,0,6.3466e-09,0,0.13542,1.586e-06,0.036292000000000005,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,11.996553257648813
1,0,1.6347e-06,1.5564e-08,0,0,0,1.213,0.34517,0,0.21111999999999997,0,0,0.55406,0.30334,0,5.8883e-06,0.083504,0,0.0025266999999999998,0,6.5466e-10,1.0554e-07,0.0022140999999999997,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,7.0613576462490135
2,0,0.1625,1.3245e-05,0,0,0,0.89054,0.44992,0,0.016806,0,0,0.63674,1.8367e-09,0,3.4226999999999996e-05,0.6732600000000001,0,0.57215,0,0.31182,1.3884000000000003e-09,0.11725999999999999,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,7.0987504231173615
3,0,3.7024999999999997e-07,3.2450000000000003e-09,0,0,0,0.49846999999999997,6.0763999999999996e-05,0,4.4414e-09,0,0,1.0093,1.8679000000000002e-05,0,0.090955,0.23385999999999998,0,7.502e-09,0,0.089952,0.016921000000000002,0.4445,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,7.90306425663367
4,0,0.1562,5.4149999999999995e-11,0,0,0,0.83185,0.18632,0,5.6507e-05,0,0,0.5448,0.30876,0,2.2409999999999998e-10,0.6615300000000001,0,0.0051012,0,3.9938e-08,0.00072918,0.26302,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,8.631770165654968
5,0,0.14518,3.1230999999999997e-07,0,0,0,1.3034,0.48077,0,0.011373000000000001,0,0,0.49091,9.0292e-06,0,4.8004e-08,0.011868,0,1.1469e-12,0,5.8e-10,1.5369999999999997e-10,1.1299,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,6.441914187944342
6,0,0.0094429,7.576100000000001e-05,0,0,0,0.81581,0.50748,0,0.028304000000000003,0,0,0.42167,0.31544,0,2.6871999999999998e-11,0.00014791,0,0.21671999999999997,0,0.027786,6.9506e-08,0.66891,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,9.155148114485684
7,0,0.00083552,0.00013065,0,0,0,1.6125,0.7479100000000001,0,0.40642,0,0,4.7419e-07,0.33357,0,0.007807,8.5076e-12,0,8.4211e-07,0,2.7226e-10,1.0432999999999999e-10,0.83993,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,8.093036501750056
8,0,0.85149,7.094199999999999e-10,0,0,0,0.8778299999999999,0.8887200000000001,0,3.9185e-09,0,0,1.1183,2.8679000000000004e-07,0,3.6319e-12,1.0576e-09,0,5.6776e-10,0,2.1211000000000002e-14,9.3946e-09,0.50198,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,4.106815728365462
9,0,8.6535e-07,1.7843e-06,0,0,0,0.97398,0.6322300000000001,0,6.0885e-12,0,0,1.6432e-08,0.7628,0,5.5361e-09,0.29101,0,0.010567,0,1.0693999999999999e-06,6.1473e-12,0.99595,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,13.894594705091436
