,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,4.3369e-08,3.1416e-07,0,0.064032,0,0,0,0,0,0,0.43935,0.38566,0.016366,0,1.4580000000000002e-08,1.2199999999999998e-07,1.0133,0,0.0023699000000000003,0.0015232000000000002,1.9113999999999998e-08,0.035223000000000004,0,0.006606100000000001,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,29.454595354978892
1,0,2.2769e-08,0.0020024,0,3.7139000000000005e-07,0,0,0,0,0,0,0.46661,0.12799000000000002,0.068865,0,1.7412999999999999e-13,4.9038e-05,1.0161,0,0.004699,1.9984e-05,6.3874e-06,0.42948000000000003,0,0.1279,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,32.83578369241273
2,0,0.00011538,0.00024885,0,0.007306699999999999,0,0,0,0,0,0,0.21439,0.44976000000000005,2.3116e-12,0,6.9527e-13,7.2962e-07,1.0677,0,1.5122e-05,1.5987e-05,0.00013453,0.4393,0,0.011552,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,30.703177908597674
3,0,0.16013,1.9956e-08,0,0.38591,0,0,0,0,0,0,0.29074,0.22975,2.0912e-06,0,2.9025e-14,0.055496000000000004,1.0542,0,0.044117,5.424e-09,1.3627e-10,0.38489,0,0.41681,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,35.059643958532135
4,0,1.0218999999999999e-07,0.0046974,0,0.019066,0,0,0,0,0,0,0.25099,0.17865999999999999,3.1976e-10,0,8.1397e-08,0.00045847,1.2742,0,0.01081,3.6388e-08,3.622e-07,0.5463899999999999,0,0.009564299999999998,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,30.467870393309582
5,0,3.136e-05,4.2584e-11,0,0.3739,0,0,0,0,0,0,0.33374000000000004,0.0011513,1.3876e-08,0,1.303e-13,0.007612399999999999,0.9512299999999999,0,0.00011096,3.3831999999999997e-13,0.00016872,0.47435,0,0.62616,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,37.47264883138212
6,0,5.1985e-06,3.9373000000000007e-07,0,0.19962,0,0,0,0,0,0,0.47063999999999995,0.25049,3.9447000000000005e-06,0,1.6387999999999997e-11,0.00033718,1.1411,0,0.0035298,8.060300000000001e-07,4.0755e-06,0.14213,0,0.05608099999999999,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,29.698048927470005
7,0,0.3126,1.5324e-05,0,2.6668e-06,0,0,0,0,0,0,0.53286,2.6394e-13,0.2895,0,1.0378e-15,4.7421e-06,0.86711,0,0.58607,6.3706e-09,1.0495999999999999e-05,0.82083,0,0.076249,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,43.188071555483305
8,0,5.1879e-07,0.00032025,0,0.076574,0,0,0,0,0,0,0.45916,0.005148300000000001,4.4264e-08,0,1.8615e-05,0.0073403999999999995,1.0398,0,0.34221,2.589e-05,9.355700000000002e-09,0.51964,0,0.049076999999999996,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,35.33697282781483
9,0,0.00073185,0.00016097,0,4.2843e-05,0,0,0,0,0,0,0.40868000000000004,0.048217,2.0938e-12,0,1.0319000000000001e-09,0.00037523,1.0615,0,8.8876e-13,0.4455,2.7714e-10,0.43563999999999997,0,0.3435,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,31.037167784789137
