,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,5.8303e-06,0.022378,0,0.31599,0,0,0,0,0,0.14093,0.35999000000000003,0,0.0018910999999999997,0,5.5024e-12,0.0040238,0.98879,0,0,0.00041110000000000007,3.3389000000000003e-07,0.39326,0,0.00086792,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,30.853738702845263
1,0,2.0286e-08,0.10294,0,3.9788e-08,0,0,0,0,0,0.076883,0.40618000000000004,0,0.1219,0,1.1414e-12,9.080800000000001e-06,0.9950200000000001,0,0,4.4377e-06,1.0885e-06,0.52954,0,0.10434,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,34.00115818998511
2,0,9.2936e-06,0.0057451,0,1.7740999999999999e-06,0,0,0,0,0,1.004e-08,0.089363,0,3.303e-13,0,5.9742e-14,1.6161e-06,1.2877,0,0,3.5333e-07,8.8522e-05,0.5244300000000001,0,0.25611,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,33.397325922028365
3,0,0.09753099999999999,2.8782e-09,0,0.20084000000000002,0,0,0,0,0,5.6063e-05,0.3409,0,1.6621000000000001e-06,0,6.6913e-12,0.053208000000000005,1.1402,0,0,8.336399999999999e-07,1.0393e-09,0.45808000000000004,0,0.008343099999999999,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,30.821737785942318
4,0,1.5055e-08,0.1144,0,0.060076,0,0,0,0,0,7.9726e-06,0.19079000000000002,0,2.3165000000000002e-10,0,2.5913e-07,0.0091111,1.1893,0,0,2.0911999999999998e-07,1.5496000000000002e-08,0.71459,0,0.033447000000000005,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.23529070762322
5,0,2.4246999999999997e-05,8.2147e-11,0,0.38864,0,0,0,0,0,1.2339e-07,0.33824,0,2.6867e-08,0,9.469400000000001e-14,0.007047399999999999,0.94383,0,0,2.9645e-13,0.00032007,0.47006000000000003,0,0.64052,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,38.005726623243625
6,0,2.6398e-07,1.2098e-07,0,0.22721,0,0,0,0,0,3.0636e-07,0.4539,0,7.4167e-05,0,1.1732e-10,0.023098,0.91507,0,0,1.168e-05,8.142300000000001e-07,0.45606,0,0.13319,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.806169090137956
7,0,0.029498000000000003,0.0027161999999999998,0,0.10342,0,0,0,0,0,0.28209,0.09085,0,0.36883,0,2.0028e-07,7.158400000000001e-10,1.2579,0,0,1.3513e-09,1.2458e-07,0.63253,0,0.043137,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,35.5207308035186
8,0,1.1669000000000002e-09,7.0299e-06,0,0.0035399,0,0,0,0,0,0.0081066,0.5949399999999999,0,6.7758e-10,0,3.4165e-06,0.00041707,1.0476,0,0,2.8547e-05,3.463e-09,0.7646,0,0.12645,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,33.92268344781116
9,0,0.00073621,0.00013937,0,3.1623e-05,0,0,0,0,0,1.232e-07,0.39997,0,1.1115e-12,0,9.9383e-10,0.00040117,1.0662,0,0,0.43367,1.7916e-10,0.4951,0,0.32711999999999997,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.61956404403637
10,0,0.016066999999999998,0.0038265,0,0.041286,0,0,0,0,0,3.5297999999999996e-08,0.020255000000000002,0,0.010355,0,3.2511e-10,0.00068041,1.0214,0,0,0.0055527,1.2159e-08,0.7570100000000001,0,0.0025528,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.714649909702345
11,0,0.07929,0.06396,0,0.36144,0,0,0,0,0,0.015088999999999998,0.17514000000000002,0,0.0011193,0,1.1606e-09,0.0048241000000000004,0.99406,0,0,0.0005066,2.9033000000000005e-09,0.094236,0,0.7743800000000001,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,37.488732446954735
12,0,1.1959e-08,0.094098,0,2.0841e-06,0,0,0,0,0,0.088518,1.5870999999999998e-09,0,1.2412e-08,0,4.5456e-12,0.00017347,1.1063,0,0,9.4836e-09,1.1068e-07,0.9969299999999999,0,8.8883e-10,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,33.520088589610204
13,0,0.050134,0.07712999999999999,0,0.32903000000000004,0,0,0,0,0,0.00048291,0.27307,0,1.0099e-05,0,1.0995999999999999e-07,0.07534400000000001,0.9662,0,0,0.013382,4.3594e-10,0.24456,0,0.44483,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,34.75209451588862
14,0,9.4568e-07,0.00024863,0,9.562200000000001e-08,0,0,0,0,0,0.00077271,1.0223e-05,0,8.4091e-05,0,1.3355e-10,0.22018000000000001,1.1059999999999999,0,0,0.0001072,3.2042e-08,0.61525,0,0.0013017999999999999,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.72250764885191
15,0,0.11907999999999999,0.00044038,0,7.4778e-09,0,0,0,0,0,0.00030854,0.098925,0,5.9019e-06,0,1.8064e-08,0.12299000000000002,1.1173,0,0,3.2074e-05,0.0024519000000000003,0.48957,0,0.0079486,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.18815847759287
16,0,2.1456e-08,0.00044995,0,1.4490999999999999e-05,0,0,0,0,0,9.984e-07,0.34183,0,1.2963e-09,0,1.3552000000000001e-10,7.887600000000001e-05,0.8748799999999999,0,0,7.2301e-05,2.3667e-05,0.55399,0,0.23689000000000002,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,34.619962400382164
17,0,3.3077e-09,0.00010283,0,0.26418,0,0,0,0,0,2.8701e-06,0.25481,0,5.5258e-07,0,7.607e-13,1.3898e-10,1.2261,0,0,1.019e-05,7.563500000000001e-10,0.5625,0,0.014641999999999999,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.077700720036354
18,0,5.9293e-05,3.7323e-05,0,0.018338999999999998,0,0,0,0,0,4.5442999999999995e-10,0.0023545000000000003,0,3.1251e-10,0,4.8348e-12,2.6918000000000002e-05,1.2238,0,0,0.0017744,8.0092e-10,0.71606,0,6.4767e-08,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.79705069695102
19,0,3.0484e-06,4.9527000000000004e-08,0,0.3128,0,0,0,0,0,0.012582,0.17085999999999998,0,1.6351e-05,0,4.8525e-10,2.7989e-10,1.1308,0,0,1.0622999999999999e-07,2.6146e-07,0.61685,0,0.06851900000000001,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.167869613764715
20,0,0.10365999999999999,0.075958,0,2.6547e-05,0,0,0,0,0,0.038129,0.28675,0,3.1142e-09,0,1.3085e-05,2.0954e-08,1.1361,0,0,0.0051785,2.0774999999999998e-10,0.53651,0,0.13564,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.626185818478966
21,0,2.3192e-09,2.3545e-07,0,0.007822800000000001,0,0,0,0,0,0.0069955,0.018698,0,1.24e-07,0,2.5054e-10,0.00031555,0.9858299999999999,0,0,8.997999999999999e-10,2.6078e-06,0.79942,0,3.2581e-06,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.95259650784702
22,0,0.064207,0.0019042999999999998,0,0.018015,0,0,0,0,0,0.0010718,0.25838,0,8.093299999999999e-08,0,0.00014735,0.29971,1.1753,0,0,1.9673e-05,0.00071727,0.31976,0,0.15559,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.71798394160804
23,0,4.0789e-05,0.21553000000000003,0,0.45743,0,0,0,0,0,0.00029564,0.0035628,0,4.5955e-07,0,0.00036529,0.00032092,0.88094,0,0,0.010323,0.41386000000000006,0.38516,0,0.00021777,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,35.725273881626
24,0,0.00034895,5.4634e-08,0,0.37794,0,0,0,0,0,0.00033107,0.032041,0,0.02557,0,8.4854e-11,0.022180000000000002,1.0759999999999998,0,0,0.00062186,7.9829e-06,0.24883000000000002,0,0.43388000000000004,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,34.64089205942843
25,0,0.006901300000000001,0.00032051,0,0.33025,0,0,0,0,0,6.2735e-08,0.23926999999999998,0,0.05529,0,4.832e-06,6.4591e-11,1.0185,0,0,4.5006e-09,9.8126e-10,0.46713000000000005,0,0.0074448000000000005,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.727290382726615
26,0,5.3257e-07,0.005896500000000001,0,0.07334500000000001,0,0,0,0,0,1.0954e-08,7.3293e-05,0,0.12905,0,2.8760999999999998e-05,3.6910000000000004e-08,1.3394,0,0,0.15182,0.00070253,0.5404,0,0.28038,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,33.78828344225131
27,0,3.5641999999999996e-07,7.206e-06,0,0.36639,0,0,0,0,0,5.2998e-08,0.37622,0,0.0011530999999999998,0,2.8999e-08,0.1562,1.4129,0,0,4.0368e-06,6.325499999999999e-09,0.26665,0,0.053622,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,29.45006661554082
28,0,1.0247999999999999e-07,2.5673e-09,0,0.34444,0,0,0,0,0,3.7713e-06,0.19063,0,0.18295,0,1.6757e-12,1.347e-07,1.1297,0,0,0.00024939,1.0551e-08,0.27137,0,0.009424600000000002,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.78191259455037
29,0,6.4813e-05,0.41267,0,0.0022584,0,0,0,0,0,0.0014705999999999999,0.0023163,0,0.5754600000000001,0,3.2112e-06,0.66368,1.2898,0,0,2.5633000000000005e-15,0.15523,0.22946,0,0.52788,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,42.58281496091712
30,0,0.090404,0.068411,0,8.3684e-07,0,0,0,0,0,2.7946e-06,0.31328,0,1.3476e-05,0,8.6451e-12,5.1846e-06,0.96996,0,0,0.00018984,3.1087999999999998e-06,0.4598,0,0.0032125,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.42661062118007
31,0,0.20277,0.00072842,0,0.25711999999999996,0,0,0,0,0,8.046e-05,0.28739000000000003,0,0.14961,0,2.9378000000000004e-13,0.12237999999999999,0.89925,0,0,7.587800000000001e-05,0.0041667,0.26278,0,0.50466,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,37.40660819536109
32,0,4.5357e-08,0.004582999999999999,0,0.25718,0,0,0,0,0,7.8455e-07,6.0582e-05,0,0.0011698000000000001,0,5.5474e-11,2.7471999999999997e-05,1.2651,0,0,2.6198e-08,3.6502e-06,0.7327899999999999,0,2.7449e-07,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.6278469104645
33,0,3.5494e-07,0.077329,0,0.7702399999999999,0,0,0,0,0,0.009234000000000001,0.00013981,0,0.17355,0,1.7895e-07,4.928899999999999e-09,1.0992,0,0,5.0112e-05,7.1736e-09,0.045465,0,0.16094,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.038400047891564
34,0,1.8275e-10,9.388e-08,0,0.39814,0,0,0,0,0,0.061811000000000005,0.19849,0,2.3746999999999997e-09,0,3.0675e-10,0.06186900000000001,1.1394,0,0,0.27649,1.5817000000000002e-08,0.2938,0,0.13338,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,29.277058937093038
35,0,0.007021300000000001,6.4268e-05,0,0.29663,0,0,0,0,0,9.0522e-09,0.38964,0,3.6385e-05,0,5.0063e-11,3.4086000000000003e-06,1.0192,0,0,0.00087029,1.6096e-08,0.54907,0,0.13298,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.872900556690446
36,0,7.6031e-08,0.0037153,0,2.8132e-06,0,0,0,0,0,0.00082002,0.18677,0,1.6215999999999998e-08,0,7.187199999999999e-05,0.29134,1.2157,0,0,0.00066487,5.5403e-08,0.37779,0,0.060363,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,30.867767235523267
37,0,0.056975,8.559299999999999e-07,0,0.00062268,0,0,0,0,0,6.221800000000001e-09,0.14259000000000002,0,6.343799999999999e-10,0,5.1213e-12,0.23135999999999998,0.94673,0,0,0.00018175,2.1523000000000003e-07,0.5060399999999999,0,0.08102899999999999,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.53359953958316
38,0,3.5561999999999996e-05,0.060408,0,0.53323,0,0,0,0,0,0.29766,0.38735,0,0.47448999999999997,0,2.1994e-06,0.0004506,0.59835,0,0,0.00014882,0.41073000000000004,0.017435,0,0.89584,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,49.169772800269314
39,0,0.0034482,0.00010055,0,0.20065999999999998,0,0,0,0,0,3.3965e-09,0.040588,0,3.0415e-10,0,5.795e-10,2.2022e-06,1.3712,0,0,0.00013661,5.6906e-09,0.73368,0,0.025208,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.58718229273542
40,0,4.996e-06,0.00025873,0,0.017772,0,0,0,0,0,3.2230000000000003e-06,0.05506900000000001,0,0.00012429999999999999,0,6.4143e-13,7.4634e-08,0.90571,0,0,0.008928,3.6343e-05,0.83685,0,0.29023000000000004,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,36.354079353128455
41,0,4.0796e-12,0.0011382,0,2.1659e-06,0,0,0,0,0,2.0597e-08,0.24076999999999998,0,0.07169,0,2.3889e-10,0.0044594,0.98405,0,0,1.0657e-05,0.00015662,0.60654,0,0.017696,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.975394309546324
42,0,0.019974000000000002,0.0057652,0,0.37815,0,0,0,0,0,0.00031591,0.29839,0,8.6433e-09,0,2.0863e-12,2.2215000000000002e-06,1.1375,0,0,0.055705,0.0027245,0.47471,0,2.6613e-06,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,30.35100115158493
43,0,8.0452e-09,0.00024387,0,0.077391,0,0,0,0,0,0.049652999999999996,7.006900000000001e-06,0,0.11352999999999999,0,2.295e-13,4.798300000000001e-09,1.2248,0,0,0.0020929000000000004,0.0054066,0.54892,0,0.004403,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.24443620928073
44,0,0.00052911,0.012666,0,0.18084,0,0,0,0,0,0.5889800000000001,0.47665,0,0.018296,0,7.7708e-09,0.048287000000000004,0.29635,0,0,0.28244,1.9973e-07,0.63905,0,0.044791000000000004,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,32.89076454521217
45,0,0.26169000000000003,0.018465000000000002,0,0.00033161,0,0,0,0,0,0.0010974000000000001,0.49608,0,3.1517e-10,0,9.138799999999999e-07,0.009344799999999999,0.75953,0,0,0.0013814,2.9209e-06,0.36667,0,0.39703,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,35.75836859903362
46,0,1.7141999999999998e-07,0.0057604,0,9.7649e-06,0,0,0,0,0,0.0042512,0.34494,0,3.1072000000000004e-10,0,9.848200000000001e-11,0.00013317,0.9596899999999999,0,0,2.4951e-10,1.5498000000000002e-09,0.8031,0,0.11904,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,34.30380207547692
47,0,0.00013729,0.066309,0,9.217599999999999e-08,0,0,0,0,0,0.00079909,0.45571000000000006,0,2.9922000000000003e-10,0,9.007999999999999e-12,4.9863000000000005e-09,1.018,0,0,0.00063717,1.1577e-06,0.48026,0,9.3414e-05,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,31.338200930929684
48,0,0.041898000000000005,0.28205,0,0.00025622,0,0,0,0,0,0.17175,0.026889,0,1.5642e-11,0,2.4253e-08,1.4142e-07,0.9707899999999999,0,0,0.00017404,2.6464e-07,0.22415,0,9.3264e-05,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,30.272219437628898
49,0,3.5729e-05,0.0025149,0,5.3643e-10,0,0,0,0,0,9.7089e-07,0.16062,0,0.22713000000000003,0,2.7029e-07,0.13419,1.0683,0,0,2.3171999999999998e-05,6.601899999999999e-07,0.65598,0,0.36799,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,38.22463911392268
