,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,5.5293e-06,3.4035e-06,0,0.28348,0,0,0.020865,0,4.900899999999999e-07,0,0.26811,0.32101,0.24811,0.27812,1.0396e-09,3.6207999999999997e-06,0.97944,0,0,0.15582000000000001,1.2725e-07,0.090405,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,35.18574051995863
1,0,2.0447e-07,0.00027285,0,4.213e-06,0,0,0.18516,0,0.22774,0,0.48203,0.20995,0.22915,0.005531800000000001,2.4935e-13,3.6242e-06,1.0298,0,0,5.417100000000001e-05,2.232e-06,0.069543,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,32.91504288818594
2,0,7.2227e-05,0.0005255,0,0.1778,0,0,0.00031095,0,0.00046939999999999997,0,0.30634,0.47176,3.5227e-12,0.18758,4.8248000000000004e-11,1.4504e-06,1.0935,0,0,0.00042782,1.8864e-05,0.30861,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,32.794848350846394
3,0,0.0058482,3.1825999999999997e-08,0,0.30068,0,0,1.9320999999999997e-11,0,2.4003e-05,0,0.47357,0.147,4.0356e-06,2.2419e-10,2.1799e-11,0.086642,1.2329999999999999,0,0,6.6564e-08,1.4227e-08,0.10764000000000001,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,30.57401374405574
4,0,4.4685000000000005e-06,0.00011153,0,0.12385999999999998,0,0,3.331e-10,0,0.21534,0,0.12092,0.35639,8.7327e-12,1.3476e-09,2.2041e-07,0.0012345000000000001,1.2569,0,0,1.2881999999999998e-07,8.633200000000001e-07,0.38274,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.365492705385694
5,0,0.00076938,4.7385000000000004e-08,0,0.15503,0,0,3.0633e-08,0,0.16469,0,0.10368,0.070694,1.1417e-09,0.0023436999999999998,4.967e-11,0.07457799999999999,1.2067,0,0,1.142e-09,2.5478e-08,0.6580600000000001,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,32.17666732554372
6,0,1.4189000000000001e-05,6.162600000000001e-07,0,0.10772999999999999,0,0,0.21135,0,0.0093853,0,0.60569,0.18808,1.0623e-06,0.41891000000000006,1.0815e-10,0.0017640999999999998,0.79359,0,0,6.639699999999999e-07,8.1795e-07,0.19395,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,34.179883486010006
7,0,0.41052,0.00061498,0,0.0012601,0,0,1.5891e-09,0,0.026455000000000003,0,0.14157999999999998,5.2271999999999995e-09,0.16184,7.3283e-08,2.5675e-10,7.8639e-10,1.1281,0,0,3.0606e-09,3.4465e-05,0.52442,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,33.70992349989519
8,0,0.00016603,0.0010935,0,0.31477,0,0,0.44328,0,0.33011,0,0.12685,0.27192,4.1099000000000005e-10,1.1690999999999999e-05,3.3158000000000005e-09,0.031818,0.62576,0,0,0.00068414,2.3773000000000003e-07,0.57393,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.642397083114734
9,0,6.8133e-05,0.00057647,0,0.2274,0,0,0.16398,0,3.6147000000000005e-10,0,0.19355,0.00064491,3.2432999999999995e-10,0.0005038,2.1725e-09,0.00075089,1.1336,0,0,0.22529000000000002,2.7026e-08,0.60529,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.169088372784238
10,0,0.17703,0.023188,0,0.42336999999999997,0,0,0.24957,0,0.010865999999999999,0,0.33283,0.28838,0.0048796,6.036600000000001e-07,4.5853e-11,5.817e-05,0.9538700000000001,0,0,0.012147,9.6868e-08,0.55925,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.52092617498866
11,0,0.037949000000000004,0.10502,0,0.032368,0,0,0.45818000000000003,0,2.8029e-12,0,0.27874,0.5393100000000001,1.697e-08,6.6902e-06,3.0428e-05,0.0012952,0.9288,0,0,0.049708999999999996,1.8407000000000002e-05,0.12312999999999999,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,29.95379088263116
12,0,5.393e-09,0.2092,0,1.7924000000000002e-06,0,0,0.064403,0,0.31190999999999997,0,4.5665e-09,0.00025602,7.3941e-09,1.3263e-07,3.1535e-12,8.2494e-05,0.9299299999999999,0,0,9.5063e-12,1.73e-07,1.1361,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,33.81797754881472
13,0,0.39032,0.20209000000000002,0,0.45661,0,0,0.00016504,0,0.00095439,0,0.37537,0.024936,1.1484e-06,0.0090041,6.272399999999999e-09,0.018741999999999998,0.8501,0,0,0.00048885,2.4729000000000003e-11,0.11162000000000001,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.215905912639215
14,0,0.01565,0.14822000000000002,0,1.5957e-11,0,0,0.0057207000000000004,0,0.094875,0,0.10336,0.27895,0.008648999999999999,0.24199,3.1944e-14,0.36793000000000003,0.8495,0,0,0.0034864000000000006,2.3729e-09,0.6622399999999999,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,34.723853084255246
15,0,0.1888,0.0023147,0,4.9553000000000005e-05,0,0,4.2056e-06,0,0.17525,0,0.041997,0.11572,0.001019,0.20928000000000002,2.9510000000000004e-07,0.083226,0.8302200000000001,0,0,0.071824,0.006815600000000001,0.2861,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,33.450844774674444
16,0,7.0603e-06,1.818e-05,0,0.00020186,0,0,0.2145,0,1.0198e-05,0,0.22726999999999997,0.093128,5.4431e-08,1.5560000000000002e-07,1.4092e-11,0.00099581,1.0662,0,0,5.6027e-05,3.2927e-05,0.40371999999999997,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.244864560019924
17,0,1.3634e-09,4.0956e-06,0,0.37971,0,0,0.00025067,0,1.5733e-07,0,0.32003000000000004,0.056795000000000005,2.6189e-08,4.5886e-11,6.9726e-14,1.5862000000000002e-11,1.252,0,0,1.4497999999999999e-05,5.1443e-10,0.49111000000000005,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,31.503961728732108
18,0,0.0026834,0.0010812999999999999,0,0.066747,0,0,0.19907,0,4.174e-10,0,0.005254,0.095217,7.456499999999999e-11,2.1478000000000002e-08,6.0263e-13,4.7554e-06,1.2564,0,0,0.0010087,8.824700000000002e-11,0.42363999999999996,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,30.967557115946995
