,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,0.17398,0.010764,0,0,0.80105,0.019584,0,0,0,0,2.6628e-07,0,0,0.025471,2.6004e-09,0,0.86154,2.6958e-10,0,0.097117,2.5751999999999997e-05,0.39393,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,41.80207751219081
1,0,2.5472e-09,8.253899999999999e-06,0,0,0.47143,0.41628000000000004,0,0,0,0,0.00051397,0,0,2.7996e-06,1.2939e-07,0,1.1732,6.6643e-07,0,2.255e-07,9.6819e-08,0.19372999999999999,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,41.590871451765494
2,0,0.0040899000000000005,0.31064,0,0,0.2702,2.4302e-08,0,0,0,0,0.21475999999999998,0,0,0.5503899999999999,3.7438e-13,0,0.6712100000000001,0.006521300000000001,0,0.0035513000000000007,1.2605e-07,0.56828,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,48.57101375833311
3,0,0.0035406,1.9842e-06,0,0,0.28362,0.47765,0,0,0,0,0.00010242,0,0,3.6981000000000002e-06,1.0621e-10,0,1.1603,0.0011175,0,0.00010261,8.288399999999999e-08,0.08051599999999999,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,41.50711786176343
4,0,0.00079778,0.30167,0,0,0.5131,0.19977999999999999,0,0,0,0,0.11047,0,0,0.08215,1.7555999999999997e-07,0,1.0469,2.2145e-05,0,5.0566e-07,0.19763,0.46503999999999995,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,47.62883784630285
5,0,0.0001494,2.5302999999999998e-08,0,0,0.6688,0.29039,0,0,0,0,0.026565,0,0,1.3835e-05,2.2535e-11,0,1.3282,2.8337e-06,0,4.2409e-08,2.2988e-08,0.1834,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,41.05744336981585
6,0,0.00033899,0.13467,0,0,0.617,0.00036669,0,0,0,0,0.25532,0,0,2.912e-05,6.3768e-12,0,0.63132,8.0814e-08,0,0.078948,2.2818e-05,0.6854899999999999,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,43.68572280284035
7,0,0.002149,0.00025194,0,0,0.1157,0.51517,0,0,0,0,0.045564,0,0,6.8118e-10,2.9475e-07,0,1.1852,2.2176e-05,0,1.2371e-08,1.5733e-07,0.36257,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,43.10504052447773
8,0,0.023107,1.6287000000000002e-05,0,0,0.6542,0.27395,0,0,0,0,0.41543,0,0,0.070403,3.3972e-08,0,0.8496799999999999,0.00011162,0,1.023e-10,3.2239999999999996e-08,0.32900999999999997,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,42.65275487872676
9,0,0.032569,5.3783999999999995e-09,0,0,0.0086926,0.73985,0,0,0,0,0.0023758000000000004,0,0,0.03862,2.7054000000000004e-06,0,1.3733,1.639e-05,0,0.0017869,9.5329e-10,0.46188999999999997,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,43.70040527846653
