,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,4.9806999999999996e-09,9.575e-06,0,0,0,0,0,7.4313e-08,0,0.094364,0,0,0,0,7.5636e-13,0,1.0307,7.3278e-09,0.010665000000000001,1.2745e-06,5.5412e-07,0.84793,0,0.0011061,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,37.645897293333924
1,0,3.5268e-11,0.012234,0,0,0,0,0,3.2363e-13,0,0.00329,0,0,0,0,1.9218999999999998e-08,0,1.0769,3.6864e-05,6.2746e-06,5.724e-07,7.8657e-06,1.042,0,0.12414000000000001,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,39.40867390650108
2,0,0.00021280000000000002,0.07409099999999999,0,0,0,0,0,1.4565000000000002e-06,0,5.4213e-09,0,0,0,0,3.4777e-12,0,1.2591,0.0001739,0.0049908999999999995,1.6899000000000001e-06,0.00044281,0.39965,0,0.28351,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,38.290192826246255
3,0,0.0012929,2.6823e-09,0,0,0,0,0,0.082889,0,0.0017387000000000001,0,0,0,0,1.1041999999999999e-10,0,1.038,1.437e-07,0.41793,0.00086243,1.1174e-09,0.54691,0,0.033506,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,41.455616551314804
4,0,1.8907e-09,0.17924,0,0,0,0,0,0.098129,0,2.7193000000000002e-05,0,0,0,0,3.2129e-06,0,1.1453,6.437100000000001e-06,0.0062176,2.0410999999999997e-07,6.2191e-08,0.73268,0,0.028235000000000003,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,37.138020277493155
5,0,6.0157e-05,1.5769999999999998e-10,0,0,0,0,0,0.18735,0,4.8293e-10,0,0,0,0,1.3074e-12,0,1.2614,2.1768e-09,0.0023320999999999997,1.0034e-11,3.9646e-05,0.71548,0,0.40541,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,40.66494162580918
6,0,1.9723e-05,9.9442e-07,0,0,0,0,0,0.030725,0,1.3827e-08,0,0,0,0,3.0398e-10,0,1.082,1.3519999999999998e-08,0.027034,0.0028209,4.6293e-05,0.65838,0,0.313,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,40.24204974976124
7,0,0.007172800000000001,0.018923,0,0,0,0,0,0.24435,0,0.056859,0,0,0,0,8.8474e-08,0,1.2271,0.0010949999999999998,0.4572,1.1093e-07,0.00017802,0.26544,0,0.015737,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,40.162055303643434
8,0,1.4552999999999998e-07,3.0748000000000004e-05,0,0,0,0,0,9.6305e-06,0,0.21094000000000002,0,0,0,0,1.0657e-07,0,1.2761,5.0001e-08,0.031392,0.00030132,3.3155999999999996e-08,0.81485,0,0.031573000000000004,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,37.42849146086611
9,0,0.00084212,0.068827,0,0,0,0,0,0.25958000000000003,0,0.042818,0,0,0,0,1.3385e-07,0,1.163,5.789e-08,1.6226e-08,0.52769,2.0283000000000004e-08,0.10895999999999999,0,0.22566,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,33.02877097046454
