,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,4.0628999999999997e-07,0.00082392,0,0,0,0,0,0.26657,9.215000000000001e-11,0,0.79196,0.45852,0,0,2.3225e-12,2.6101e-06,0,0,0,0.0042517,5.4462e-06,0.52137,0,0.18087999999999999,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1.4695098391131234
1,0,0.0003194,0.20483,0,0,0,0,0,2.3015e-05,0.40164,0,0.71328,0.00039988,0,0,8.552500000000001e-11,0.0015472,0,0,0,0.072425,0.022088,0.58075,0,0.26816,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.2716547412168158
2,0,0.34881999999999996,0.14476,0,0,0,0,0,0.0061865,0.32051999999999997,0,0.00064786,0.6655300000000001,0,0,0.00046736,5.0638e-11,0,0,0,0.27359,0.00049815,1.0919,0,1.1594e-08,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.9178867118273777
3,0,2.8543e-10,2.4032e-08,0,0,0,0,0,0.34975,0.19280999999999998,0,0.6431100000000001,0.5031,0,0,0.00080971,0.0055847,0,0,0,0.0022247,0.00021148,0.59513,0,6.619e-09,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.39970324608600993
4,0,0.092363,0.25419,0,0,0,0,0,0.34384000000000003,0.014891999999999999,0,0.62772,0.46306,0,0,4.4024e-12,3.7874000000000004e-05,0,0,0,0.0083751,0.0061357,0.55209,0,1.3725e-05,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.49070528333877395
5,0,0.016196000000000002,0.09081399999999999,0,0,0,0,0,0.007845999999999999,0.1487,0,0.70203,0.0014048,0,0,3.2415e-09,0.10957,0,0,0,6.536900000000001e-08,7.9784e-09,1.1171,0,0.31867,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.5738728477344157
6,0,2.5597e-07,6.1701e-05,0,0,0,0,0,0.19544,7.8703e-07,0,0.64036,0.42256000000000005,0,0,2.3026e-09,0.17868,0,0,0,0.0040884,0.00028611,0.6905100000000001,0,0.01842,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.7536371420663119
7,0,5.2923e-06,0.72573,0,0,0,0,0,0.32734,0.24556999999999998,0,0.00077955,0.0010843,0,0,0.001166,7.5646e-07,0,0,0,7.4158e-05,2.7098e-05,1.0695,0,0.27956,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.175391813094957
8,0,1.1545e-05,6.2875e-05,0,0,0,0,0,0.46119,0.27216999999999997,0,0.20415,0.75256,0,0,1.7753e-11,0.24276,0,0,0,0.036802,1.8803999999999998e-06,1.2381,0,0.0062767,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,2.027211923804657
9,0,0.0035853,0.024135,0,0,0,0,0,0.064349,0.0010685,0,0.39493,2.2298e-06,0,0,6.1095e-09,0.0062722,0,0,0,0.54748,2.6549e-09,1.0226,0,0.31701999999999997,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,8.335601865775725
10,0,0.00016219999999999999,0.00010518,0,0,0,0,0,6.004899999999999e-07,6.6737e-12,0,0.20158,0.39526999999999995,0,0,0.0015154,0.4004,0,0,0,0.0067797,0.005183699999999999,1.0864,0,9.0558e-08,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1.5807520387468337
11,0,1.0769000000000001e-05,0.0025159,0,0,0,0,0,6.2453e-08,5.527399999999999e-13,0,0.16858,0.5482100000000001,0,0,4.2829e-06,0.18324000000000001,0,0,0,0.42901999999999996,0.0081417,0.80783,0,0.0014799000000000001,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,4.924426447335866
12,0,0.0001158,6.1871e-09,0,0,0,0,0,2.381e-09,0.2493,0,8.903700000000002e-09,0.00042801,0,0,2.0156e-13,4.8381000000000005e-09,0,0,0,2.4195000000000003e-11,4.5565e-05,1.5693,0,3.7121000000000006e-11,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,2.3853048832685904
13,0,0.25977,0.029427,0,0,0,0,0,0.69282,1.6489000000000002e-07,0,0.6050800000000001,0.63879,0,0,2.6765999999999998e-05,0.45756,0,0,0,0.0061892,0.0020165,0.38339,0,0.055220000000000005,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.36092184122494153
14,0,0.0020507,0.00088195,0,0,0,0,0,0.19799,0.30526,0,6.637300000000001e-07,0.54583,0,0,7.867000000000001e-14,0.37864000000000003,0,0,0,2.6157e-06,3.8232e-08,0.5546,0,0.32721,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,2.4717476781262997
15,0,0.89889,0.00016446,0,0,0,0,0,0.0002079,0.15344000000000002,0,0.041782,0.0005312,0,0,0.0028809,0.21681,0,0,0,0.030699,0.0018847000000000002,0.34328000000000003,0,0.04102,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.506961906676632
16,0,0.011984,1.2422e-08,0,0,0,0,0,0.18503,4.6578999999999994e-07,0,0.83652,0.35853,0,0,1.9552999999999996e-09,0.20679,0,0,0,0.22175999999999998,1.5127e-07,0.6353800000000001,0,0.57838,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,6.3044276961892685
17,0,9.2006e-09,0.39283,0,0,0,0,0,0.14232999999999998,0.10425,0,0.7592399999999999,0.0019487000000000003,0,0,1.1511e-10,0.081982,0,0,0,0.032519,2.3308e-08,0.71408,0,1.718e-05,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.9397646578829306
18,0,7.0929e-09,0.0023884,0,0,0,0,0,0.0053272,0.0019952999999999998,0,1.0521e-09,0.6733,0,0,2.4073000000000003e-13,0.030076,0,0,0,0.20016,4.843399999999999e-09,1.2075,0,1.0724999999999999e-11,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.473563906131406
19,0,0.0021725,0.0032789,0,0,0,0,0,0.00065308,0.00020292,0,0.40802,0.6099,0,0,2.7841e-12,0.00014799,0,0,0,0.10004,0.010428,0.38744,0,0.94216,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,7.337055571682686
20,0,0.0014298,0.36321,0,0,0,0,0,0.43366000000000005,6.082100000000001e-10,0,0.40428000000000003,0.0081098,0,0,0.0014161,0.35193,0,0,0,0.23781999999999998,0.00095207,0.26023,0,0.0022984000000000004,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1.8835488814720076
21,0,1.7984e-12,0.037536,0,0,0,0,0,0.44522,0.07329400000000001,0,1.951e-06,0.28498,0,0,3.7635e-06,0.27271,0,0,0,2.2019999999999998e-08,1.7686999999999998e-08,1.3557,0,1.3495e-09,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1.8904169274929234
22,0,0.19193,0.011239,0,0,0,0,0,0.3213,3.602e-05,0,0.22236,0.21134,0,0,3.4519999999999997e-06,0.52136,0,0,0,0.008786799999999999,0.02745,0.8467399999999999,0,0.30052,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.504545612041893
23,0,0.00014685,0.24802,0,0,0,0,0,0.11495,0.26978,0,6.573100000000001e-11,0.0022458,0,0,2.5865e-05,0.086626,0,0,0,0.63138,0.13105,0.61739,0,8.4791e-09,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,8.857444009939243
24,0,0.00010924,0.41748,0,0,0,0,0,0.54543,4.1808000000000004e-11,0,0.0012111,0.32338,0,0,1.4942e-12,6.3334e-05,0,0,0,0.00061438,2.9735e-09,0.8208700000000001,0,0.46917,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,3.897638332903872
25,0,0.22523,3.3961e-08,0,0,0,0,0,0.036000000000000004,0.0016851,0,0.29772,0.83788,0,0,7.0124e-08,1.554e-14,0,0,0,0.00037024,4.123399999999999e-06,0.7334,0,0.00090364,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0.7080524558445438
26,0,0.06377100000000001,0.36653,0,0,0,0,0,0.022768,4.3548999999999995e-08,0,0.018852,7.6958e-09,0,0,1.7717e-10,4.3138999999999994e-10,0,0,0,0.21916,8.569700000000001e-10,1.6438,0,0.017516,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,4.636101941653564
27,0,0.0002457,3.8752e-06,0,0,0,0,0,0.19541,4.7052e-07,0,0.4773,0.48086,0,0,1.4126e-12,0.06840800000000001,0,0,0,0.061547000000000004,2.3053e-05,0.83711,0,0.13894,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,2.358811067565057
28,0,0.069923,0.21520999999999998,0,0,0,0,0,0.30859000000000003,0.033168,0,0.84325,0.44133999999999995,0,0,6.3052e-06,0.0024208000000000003,0,0,0,1.7725e-05,2.7124000000000004e-10,0.33016,0,0.24161999999999997,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1.4406756121655824
29,0,1.2812e-10,9.878399999999999e-08,0,0,0,0,0,1.2943e-05,0.29758,0,0.10805,0.010725,0,0,0.037639,0.36643000000000003,0,0,0,0.021636000000000002,0.37789,0.67578,0,0.13153,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,9.352901651491532
