,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,3.8044000000000004e-05,0.25863,0,0,0,0,0,0.32646,5.146e-07,0,0.60653,0,0,0,6.7765e-13,0.12284,0,0,0,0.00021184,0.0012192,0.84775,0,0.0055575,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,2.4324416320944717
1,0,0.0055722,0.38559,0,0,0,0,0,1.1965999999999999e-05,0.28503,0,0.58421,0,0,0,1.5237e-10,0.0022871,0,0,0,0.010112999999999999,0.063429,0.46293999999999996,0,0.47662,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,6.167795516686503
2,0,0.03793,0.27414,0,0,0,0,0,0.062204999999999996,0.2198,0,1.2312e-05,0,0,0,6.8562e-11,2.8135e-07,0,0,0,0.024679,0.11127000000000001,1.3835,0,0.24965,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,7.621260466295876
3,0,9.7239e-07,5.2158000000000004e-05,0,0,0,0,0,1.0122,1.327,0,1.6443,0,0,0,0.00011434,2.4806e-06,0,0,0,0.00079975,7.1331e-09,0.50207,0,5.2846000000000004e-14,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1.581953166295201
4,0,0.00016552,0.50736,0,0,0,0,0,0.27528,9.559399999999999e-05,0,0.44659,0,0,0,6.8655e-12,0.27071,0,0,0,0.028652999999999998,2.9741e-05,0.82842,0,3.5542000000000004e-07,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,2.598368081008668
5,0,0.0093087,0.09411599999999999,0,0,0,0,0,0.011912,0.14205,0,0.6998,0,0,0,1.4346e-09,0.10253,0,0,0,5.0167999999999996e-08,1.4121e-08,1.1456,0,0.30435999999999996,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,5.018900548077833
6,0,1.0498e-08,4.718e-06,0,0,0,0,0,0.67381,0.00010059,0,0.4032,0,0,0,1.2825e-09,0.28838,0,0,0,0.13608,1.638e-05,0.8780899999999999,0,0.073939,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.102743161682069
7,0,1.1805999999999998e-05,0.72264,0,0,0,0,0,0.3278,0.24719000000000002,0,0.00068193,0,0,0,0.001167,6.1522e-07,0,0,0,9.539700000000001e-05,2.9804e-05,1.0691,0,0.27888,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.652898413961637
8,0,1.1408e-09,0.00037615,0,0,0,0,0,2.9575e-09,0.12129000000000001,0,0.44842,0,0,0,2.7805e-09,7.9897e-06,0,0,0,0.00093105,1.9964000000000003e-07,1.4883,0,0.0010612,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3.71959245618981
9,0,0.0035462,0.023903999999999998,0,0,0,0,0,0.064796,0.0010255999999999998,0,0.39478,0,0,0,6.2808e-09,0.0063802,0,0,0,0.5478,2.7660999999999998e-09,1.0225,0,0.31616,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,9.815184855073836
10,0,0.00015607,1.0636e-06,0,0,0,0,0,3.7774e-07,5.452400000000001e-10,0,0.00059354,0,0,0,0.004346,0.34442,0,0,0,0.13768,0.00025036,1.3628,0,0.00074911,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.711922499047436
11,0,4.2363e-05,4.1726e-08,0,0,0,0,0,0.005167100000000001,1.3030000000000002e-12,0,0.16427999999999998,0,0,0,3.85e-07,0.36799,0,0,0,0.3446,0.079076,0.87895,0,0.2224,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,8.684158530100133
12,0,8.146e-05,8.984700000000001e-09,0,0,0,0,0,2.5534000000000003e-09,0.25004,0,8.6819e-09,0,0,0,2.2916e-13,6.584e-09,0,0,0,3.2283e-11,7.4366e-05,1.5688,0,4.8764e-11,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3.8674967006498537
13,0,0.00013805,0.15320999999999999,0,0,0,0,0,0.96662,0.009966200000000001,0,0.26254,0,0,0,0.00018449999999999999,0.26778,0,0,0,0.020736,0.28813,0.17274,0,0.36845,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,9.407598270123074
14,0,2.2208e-05,0.00038476,0,0,0,0,0,0.45038,0.18825,0,2.3761999999999998e-07,0,0,0,3.5384e-15,0.59053,0,0,0,1.5630000000000001e-06,2.3878e-08,0.67168,0,0.18284,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3.2018771652027826
15,0,0.8980600000000001,0.00016402,0,0,0,0,0,0.00056867,0.16973,0,0.049257999999999996,0,0,0,0.0045173999999999995,0.23484000000000002,0,0,0,0.0098543,0.0032454999999999997,0.35544000000000003,0,0.014284,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1.6762782083841339
16,0,1.9769e-08,1.8838999999999999e-06,0,0,0,0,0,0.4307,2.682e-05,0,0.5079100000000001,0,0,0,2.6968e-08,0.016713,0,0,0,0.3601,0.00033207,1.1578,0,0.1752,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,7.407927857530607
17,0,7.6317e-09,0.39111999999999997,0,0,0,0,0,0.15642999999999999,0.10754000000000001,0,0.75705,0,0,0,3.6470999999999997e-10,0.08134,0,0,0,0.043149,1.8005e-08,0.7063,0,1.6015e-05,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,2.501195816766293
18,0,3.1927e-11,0.014291,0,0,0,0,0,2.2963e-05,1.1114e-05,0,2.0908000000000004e-11,0,0,0,4.8234e-08,0.094,0,0,0,0.24763000000000002,2.4823e-08,1.8064,0,1.7212000000000002e-08,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,6.591978312516382
19,0,6.5498e-06,4.9209e-07,0,0,0,0,0,1.6968e-05,0.040504000000000005,0,0.47302,0,0,0,1.7452e-13,0.00014493,0,0,0,0.21698,3.3906e-05,0.96755,0,0.50574,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,7.9603126640222275
20,0,0.0089629,0.36039,0,0,0,0,0,0.44348000000000004,1.0556e-09,0,0.40110999999999997,0,0,0,0.0021941,0.35164,0,0,0,0.23115,0.0032521,0.23399,0,0.0062511,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3.324344320999997
21,0,4.0258e-11,0.49368999999999996,0,0,0,0,0,0.44556999999999997,0.064375,0,0.00013963,0,0,0,0.0001616,0.0013579,0,0,0,8.426799999999999e-07,4.7394e-08,1.3653,0,1.6897e-05,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3.3923955860151587
22,0,0.28115,0.00079726,0,0,0,0,0,0.18997999999999998,0.0009579,0,0.26594,0,0,0,0.00027144,0.61151,0,0,0,0.0060449,0.16378,0.86508,0,0.20551999999999998,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,7.170743583504932
23,0,0.00014127,0.24656999999999998,0,0,0,0,0,0.12024000000000001,0.27460999999999997,0,7.368699999999999e-11,0,0,0,2.5821999999999998e-05,0.085619,0,0,0,0.62856,0.13124,0.6192,0,7.8171e-09,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,10.321194642675254
24,0,0.00014901,0.43631000000000003,0,0,0,0,0,0.51493,1.9760000000000005e-11,0,0.0096466,0,0,0,2.5002e-12,0.00021586,0,0,0,0.023413999999999997,4.667600000000001e-09,0.75098,0,0.53909,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,5.911876417768996
25,0,0.46253,0.0037344,0,0,0,0,0,0.2518,1.6468e-05,0,0.33481,0,0,0,1.296e-06,6.5399e-09,0,0,0,1.7362e-09,1.2754e-10,1.2113,0,5.1194e-05,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,3.11109646939523
26,0,0.063282,0.36735,0,0,0,0,0,0.022173,1.3269e-07,0,0.017955000000000002,0,0,0,1.6109e-10,1.9719e-10,0,0,0,0.22036,3.2304e-10,1.6422,0,0.018744999999999998,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,6.134574776240237
27,0,0.00049815,4.7553000000000004e-05,0,0,0,0,0,4.5913000000000006e-07,0.17782,0,0.69914,0,0,0,0.011484999999999999,2.7141e-05,0,0,0,0.03015,0.00014082,0.79019,0,0.24915,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.218935112312667
28,0,0.06271,0.31574,0,0,0,0,0,0.49276000000000003,0.037585,0,0.79655,0,0,0,5.6591e-06,0.020000999999999998,0,0,0,9.2659e-08,2.3607e-11,0.36718,0,0.6028,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,5.350699640830468
29,0,1.2145999999999999e-10,1.1383e-07,0,0,0,0,0,1.4099999999999999e-05,0.29996999999999996,0,0.11223,0,0,0,0.038623000000000005,0.35941,0,0,0,0.022319,0.36806,0.68688,0,0.12921,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,10.648396601246523
30,0,0.0062954,2.3799e-08,0,0,0,0,0,4.2832e-06,2.6345e-07,0,0.5512699999999999,0,0,0,4.0733e-10,0.57252,0,0,0,0.09869,5.6375e-08,1.128,0,0.23190999999999998,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,5.403908269546524
31,0,0.40713,0.030587,0,0,0,0,0,0.26328,0.13021,0,0.76171,0,0,0,0.08643200000000001,0.031082,0,0,0,0.40533,1.1947000000000001e-05,0.64152,0,0.056304999999999994,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,6.014985910690399
32,0,0.00016958,0.033658999999999994,0,0,0,0,0,0.17972,0.51582,0,3.0401e-06,0,0,0,2.7656999999999997e-09,2.686e-09,0,0,0,0.005746,0.00020704,1.0594,0,5.3698999999999995e-05,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,2.872568918421999
33,0,1.3431000000000001e-06,0.24843,0,0,0,0,0,1.279e-06,0.041181999999999996,0,1.9977e-07,0,0,0,6.9147e-14,0.23192,0,0,0,0.11367999999999999,2.5277e-09,0.62946,0,0.8466600000000001,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,8.588373127464259
34,0,1.6224000000000003e-05,3.7635e-11,0,0,0,0,0,1.5673e-12,6.4649e-05,0,0.31925,0,0,0,2.7521e-12,0.41016,0,0,0,2.5598e-05,1.9266e-06,1.3535,0,0.32871,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,5.599307391138744
35,0,0.00038755,0.00096123,0,0,0,0,0,0.2472,8.448200000000002e-07,0,0.6846899999999999,0,0,0,4.7498999999999994e-05,3.3908e-05,0,0,0,0.28226,8.6807e-08,0.77308,0,2.4209e-07,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.793169848526853
36,0,0.036319,1.8212e-05,0,0,0,0,0,0.06906,2.9311999999999997e-05,0,0.59308,0,0,0,5.5798000000000003e-05,0.54697,0,0,0,0.298,6.778299999999999e-08,0.76683,0,0.0062724,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.990663178777512
37,0,0.22921999999999998,0.30228,0,0,0,0,0,0.0011508,0.092504,0,0.39485,0,0,0,0.0009316000000000001,0.27075,0,0,0,0.4604,0.00016526,0.73921,0,0.004998,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,6.414439194163992
38,0,2.856e-05,4.5460000000000005e-08,0,0,0,0,0,1.1540999999999998e-13,4.4355e-13,0,0.41013999999999995,0,0,0,0.00035557,0.16666,0,0,0,0.12653,0.45385,1.0209,0,0.10111,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,13.829419220804994
39,0,0.0060414,8.621000000000001e-10,0,0,0,0,0,2.3901e-05,6.2578e-06,0,0.74182,0,0,0,6.3439e-05,0.0089426,0,0,0,0.00043341,7.6868e-05,1.0899,0,0.1671,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,4.009727398754032
40,0,1.3824000000000003e-07,0.024256,0,0,0,0,0,0.2218,6.9234e-05,0,0.00022674,0,0,0,6.4615e-06,5.4188e-12,0,0,0,0.5464899999999999,6.4536e-08,1.224,0,2.8545999999999996e-10,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,8.102428729866052
