,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.7082999999999997e-11,0.00049142,0,0,0,0,0,0,3.0122e-10,0,0,0,0,0.0006502999999999999,8.7326e-08,0,0,1.6781999999999999e-06,0.28324,2.9948000000000003e-10,1.4357999999999999e-05,1.8931,0,4.2489e-05,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.183276734048688
1,0,7.2712e-10,0.08714,0,0,0,0,0,0,0.27125,0,0,0,0,0.1028,9.7355e-08,0,0,0.018075,0.35716,0.020713,0.002671,1.4407,0,0.31239,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.82126756503613
2,0,0.12162,0.6924,0,0,0,0,0,0,0.067848,0,0,0,0,0.4124,4.3629e-10,0,0,0.12222000000000001,0.17128,0.061765,0.0048122,0.99755,0,0.06015,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,12.380394859863234
3,0,3.3652e-06,9.5047e-09,0,0,0,0,0,0,0.00069601,0,0,0,0,5.8654e-07,0.0010904999999999999,0,0,1.5694e-09,0.47213,0.0030916999999999997,3.3658000000000005e-09,1.5263,0,2.0597000000000001e-10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.90385356087792
4,0,2.7065e-10,0.047577,0,0,0,0,0,0,1.1173999999999999e-06,0,0,0,0,1.0281e-11,3.5951e-07,0,0,8.817399999999999e-07,0.010262,0.084702,7.6016e-08,1.6329,0,0.045901,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.934359253747415
5,0,0.16208,0.055987999999999996,0,0,0,0,0,0,0.28544,0,0,0,0,0.00068817,4.0204999999999997e-10,0,0,7.950599999999999e-10,1.1553e-08,5.48e-10,4.6140999999999996e-08,1.3756,0,0.39558000000000004,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.227148137312975
6,0,5.3188e-10,2.1548000000000002e-07,0,0,0,0,0,0,7.0058999999999996e-09,0,0,0,0,4.8845e-10,1.4815e-11,0,0,0.006774600000000001,0.23028,0.41081000000000006,0.0011811,1.4605,0,0.21608000000000002,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,13.931073865215641
7,0,1.9334e-06,0.55743,0,0,0,0,0,0,0.0010157999999999999,0,0,0,0,0.008562,0.00078047,0,0,0.013503,0.59817,0.00037408,0.33159,1.3171,0,0.30305,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,17.52916884568863
8,0,2.1465999999999996e-07,0.040396,0,0,0,0,0,0,0.28656,0,0,0,0,1.1477e-06,1.5790000000000002e-10,0,0,1.0911e-07,0.0002114,0.005507199999999999,1.5101e-06,1.6625,0,0.00010144,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,8.939248777625375
9,0,0.056883,0.23346,0,0,0,0,0,0,0.010522,0,0,0,0,0.11579,2.0944000000000003e-07,0,0,0.00027832,4.7451999999999994e-08,0.37261,2.2619e-08,1.0808,0,0.40575,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,15.241603666615969
10,0,0.00011136,7.252600000000001e-07,0,0,0,0,0,0,6.3948e-11,0,0,0,0,0.067886,0.008274799999999999,0,0,0.0060302,0.32538,0.040677,1.2013e-05,1.5113,0,0.0016855000000000001,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.704115689501247
11,0,0.0039561,1.2936e-12,0,0,0,0,0,0,8.7146e-08,0,0,0,0,4.1817e-12,5.1374e-09,0,0,0.0079834,0.00017777,0.11420999999999999,0.00077569,1.7376,0,0.0062885,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.054166189143087
12,0,2.5896e-07,2.0275999999999998e-10,0,0,0,0,0,0,0.30163,0,0,0,0,0.23089,6.915599999999999e-14,0,0,1.5138e-08,0.17281,2.0353999999999998e-11,9.902000000000001e-06,1.8867,0,1.7432999999999998e-11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.839339061732453
13,0,0.075197,0.1375,0,0,0,0,0,0,0.28393,0,0,0,0,0.7125100000000001,2.0824999999999997e-11,0,0,5.7360000000000005e-08,0.44032,0.00030435,6.568200000000001e-06,1.5382,0,0.038254,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,14.363667667303933
14,0,6.1954e-08,0.0013181,0,0,0,0,0,0,0.009209,0,0,0,0,0.12224000000000002,9.303e-11,0,0,0.00027063,0.68057,9.1724e-06,0.070328,1.2516,0,0.12097000000000001,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.793771523398448
15,0,0.35767,0.007128,0,0,0,0,0,0,0.00028226,0,0,0,0,0.28976,2.2638000000000002e-05,0,0,0.0026448,0.48344,0.0012867,0.0028079,0.8650899999999999,0,0.066851,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.88573282904338
16,0,4.9109e-10,0.065444,0,0,0,0,0,0,0.00063595,0,0,0,0,0.0013923,0.0064873000000000005,0,0,0.031016000000000002,0.24248000000000003,0.01073,1.1329e-06,1.3647,0,0.36482,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.176721847946006
17,0,2.9685e-10,0.6595,0,0,0,0,0,0,2.0890000000000002e-06,0,0,0,0,0.00033123,1.0137e-11,0,0,7.2424e-06,2.6965e-05,0.26225,1.6462000000000002e-10,1.5163,0,1.1711e-08,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,11.132925325846742
18,0,5.0341e-09,0.0033085999999999996,0,0,0,0,0,0,2.8605e-08,0,0,0,0,3.1299e-06,1.0811e-08,0,0,4.9224e-08,0.42457,0.23018000000000002,3.1640000000000002e-09,1.4389,0,2.1524e-09,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.870786741963808
19,0,0.0010538,3.6400999999999996e-08,0,0,0,0,0,0,0.14617,0,0,0,0,0.16893,8.401899999999999e-11,0,0,0.0013461999999999999,0.39313000000000003,0.06285700000000001,1.0109e-07,1.2624,0,1.7554000000000002e-07,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.415777301918364
20,0,5.8296e-10,0.60442,0,0,0,0,0,0,4.864100000000001e-11,0,0,0,0,0.08858400000000001,1.5807e-08,0,0,3.2876e-06,7.2232e-09,0.042579,3.4248e-08,1.2932,0,2.8235e-05,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,9.574150880945789
21,0,2.9952e-11,0.49887,0,0,0,0,0,0,0.14651,0,0,0,0,0.2381,0.00013931,0,0,1.4306999999999998e-10,0.0056515,8.6509e-07,3.1275e-09,1.6218,0,0.00017801,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10.599894012618346
22,0,0.48931,2.0512e-06,0,0,0,0,0,0,0.0029383000000000005,0,0,0,0,4.6988e-06,0.00096148,0,0,1.5947e-05,0.0031335,0.27449,0.34694,1.012,0,0.3948,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,20.435086110482022
