,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.0470999999999999e-07,0,0,0,0,0,0.037456,0,0,0,0.46698999999999996,0.36369,0.00030068,0,2.5930999999999996e-07,7.6586e-08,1.0032,4.7758e-06,0,0.008706700000000001,1.3077e-07,0.025945,0,0.026513,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,30.659092362320123
1,0,4.8991e-07,0,0,0,0,0,0.046116000000000004,0,0,0,0.48623999999999995,0.1528,0.061646000000000006,0,7.8572e-12,5.7684e-05,1.0004,1.2434000000000001e-07,0,2.0901e-05,1.811e-05,0.3315,0,0.12955,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,34.00640619572562
2,0,0.00020261,0,0,0,0,0,0.020738999999999997,0,0,0,0.21359,0.45433,2.8298000000000004e-11,0,9.691700000000001e-11,7.250499999999999e-07,1.0539,0.0010676,0,0.00019118,0.00056707,0.45498999999999995,0,0.0015703,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,32.62005522709855
3,0,8.3914e-08,0,0,0,0,0,3.5436e-09,0,0,0,0.38621,0.39908000000000005,0.00020684,0,5.1278e-11,0.0016975000000000002,0.84834,4.6852999999999996e-08,0,0.00037207,6.510899999999999e-07,0.35515,0,0.042939,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,33.19242208827874
4,0,5.751e-09,0,0,0,0,0,3.4339e-10,0,0,0,0.27594,0.14340999999999998,1.5108e-10,0,2.1762e-08,0.00033122,1.2448,1.2453e-06,0,1.4547000000000002e-07,1.2985e-07,0.59725,0,0.013231,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,32.9735027236578
5,0,1.5557e-05,0,0,0,0,0,7.2504e-08,0,0,0,0.28676999999999997,0.12161,5.9704e-09,0,2.8415e-12,0.012334999999999999,1.0912,1.097e-06,0,2.8429e-10,9.6316e-06,0.48281,0,0.26958000000000004,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,35.50998957208813
6,0,3.6122e-07,0,0,0,0,0,0.25118,0,0,0,0.52879,0.07606399999999999,1.9019000000000002e-05,0,7.4569e-12,0.00016548,0.9024200000000001,3.2153000000000003e-09,0,4.0036e-05,1.7319999999999999e-06,0.3286,0,0.050026999999999995,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,32.2692262531436
7,0,0.56448,0,0,0,0,0,1.4664e-11,0,0,0,0.38251999999999997,2.0524000000000003e-11,0.11740999999999999,0,8.7965e-15,3.1958e-07,1.1183,0.0019986,0,4.0912000000000003e-10,0.0048131,0.47396000000000005,0,0.14533,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,35.3865895174622
8,0,0.00020001,0,0,0,0,0,0.77241,0,0,0,0.11558,0.5976899999999999,5.4997e-10,0,9.7524e-10,8.8551e-05,0.5361,3.5042e-05,0,0.0014622,2.6248000000000003e-06,0.41193,0,0.01554,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,32.09924771760149
9,0,1.2649e-06,0,0,0,0,0,0.48851000000000006,0,0,0,0.33007,0.014596000000000001,6.1418e-12,0,2.1416999999999997e-09,0.00019286,1.1345,4.843e-10,0,0.41313999999999995,5.0809e-11,0.2116,0,0.18292,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,33.134981519678114
