,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.5162e-07,0,0,0,0,0,0.084097,0.00013309,0,0.084339,0.48801000000000005,0.3524,0,0,1.1027000000000001e-07,0,0.9821700000000001,4.5239e-06,0.00038836,0.004275,9.149e-08,0.017447,0,0.012315000000000001,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,31.602290405906267
1,0,6.8687e-08,0,0,0,0,0,0.11558,1.8803e-10,0,0.13907,0.48583000000000004,0.068926,0,0,6.947399999999999e-11,0,0.92948,2.2818999999999997e-08,0.10350999999999999,0.00038353,3.2078000000000004e-07,0.50679,0,0.06895499999999999,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,35.51714683514652
2,0,0.0002141,0,0,0,0,0,0.022306,1.2069e-05,0,3.491e-05,0.21624000000000002,0.45153999999999994,0,0,6.4465e-11,0,1.0533,0.0009689,3.1475999999999997e-06,0.00012915,0.00048168,0.45637,0,0.001875,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,33.35323246359805
3,0,5.3473e-07,0,0,0,0,0,1.5955999999999997e-08,0.20967,0,7.8286e-06,0.38542,0.39732,0,0,1.8948000000000002e-11,0,0.6695399999999999,2.2124000000000001e-07,0.046447,0.00030174,3.9615e-07,0.30651999999999996,0,0.19647,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,36.31052672819094
4,0,9.9187e-08,0,0,0,0,0,3.4421999999999995e-09,0.24084,0,0.0027649999999999997,0.42516000000000004,0.20815,0,0,2.2987000000000003e-08,0,1.0578,3.6064999999999997e-06,0.0045011,3.9794000000000003e-07,5.0079e-07,0.40908,0,0.021401,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,33.412413204904894
5,0,1.0989000000000001e-05,0,0,0,0,0,1.5336e-08,0.21798,0,1.2901000000000001e-08,0.21286,0.078456,0,0,2.3806e-12,0,1.2752,1.6973e-07,0.00038199999999999996,3.5579e-11,1.4943e-06,0.62543,0,0.23579,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,35.97618283276575
6,0,2.6402999999999998e-08,0,0,0,0,0,0.069694,0.0070554,0,1.7741e-07,0.4095,0.019224,0,0,8.585500000000001e-11,0,0.94721,1.8973e-08,0.21308000000000002,0.00017694,0.00017123,0.37134,0,0.145,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,37.049661545976996
7,0,0.0036268,0,0,0,0,0,3.9159e-10,0.21465,0,0.026407,0.29877,2.0315e-10,0,0,1.8507e-10,0,1.067,0.00093262,0.44333999999999996,6.3482e-08,1.6422e-06,0.65947,0,0.07597999999999999,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,40.020669916197804
8,0,0.00035381,0,0,0,0,0,0.65608,1.1252e-05,0,0.096785,0.10885999999999998,0.32511,0,0,1.3783e-09,0,0.72556,4.0318e-05,0.18684,0.00034541,2.041e-06,0.41242,0,0.0077936,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,34.48802614631473
9,0,1.3524000000000002e-06,0,0,0,0,0,0.49063999999999997,3.8765000000000003e-08,0,9.0035e-07,0.33016999999999996,0.018987999999999998,0,0,1.8059e-09,0,1.1349,5.969299999999999e-10,6.0423e-09,0.41301000000000004,6.876100000000001e-11,0.20698000000000003,0,0.18414,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,34.17823101050354
