,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,5.5552e-09,0,0,0,0,0,0.10285,0,6.4303e-11,0,0,0.5433100000000001,0,0,1.0512e-12,0,1.1141,2.0323e-09,0,3.2497000000000004e-06,6.6322e-09,0.67737,0.31292,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,27.152019865896765
1,0,0.075038,0,0,0,0,0,2.6627e-06,0,0.45333999999999997,0,0,0.44246,0,0,9.5083e-08,0,0.8992700000000001,0.011535,0,0.015681,5.8161e-05,0.0092552,0.77181,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,25.9759327960012
2,0,4.5943e-09,0,0,0,0,0,0.31543000000000004,0,2.3781999999999997e-07,0,0,0.53408,0,0,3.7777000000000003e-07,0,0.99666,1.8962e-06,0,0.0098819,0.0014932,0.00031481,0.85234,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,24.999615022900848
3,0,0.00027249,0,0,0,0,0,9.588999999999999e-09,0,7.4333e-07,0,0,0.21846999999999997,0,0,3.6716e-11,0,0.83075,0.0011066,0,3.7246e-05,5.085e-10,0.24115,0.7937,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,26.509114188176223
4,0,1.0815e-10,0,0,0,0,0,1.3718e-10,0,0.43027,0,0,0.30344,0,0,1.546e-05,0,0.62022,1.0634e-10,0,0.12395999999999999,5.352899999999999e-10,0.0018289,1.2687,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,27.098482973685037
5,0,0.0053261,0,0,0,0,0,7.819600000000001e-08,0,0.49323,0,0,0.087418,0,0,9.297999999999999e-10,0,0.76928,0.0087127,0,2.0249000000000002e-05,1.8586000000000002e-08,0.025083,0.85705,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,25.988726278419925
6,0,0.0027167,0,0,0,0,0,2.5935e-05,0,0.25864000000000004,0,0,0.17987999999999998,0,0,1.5696000000000002e-10,0,1.3444,3.8105e-06,0,7.895e-06,0.00033822,0.39783,0.42557,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,26.51408399651268
7,0,0.10734,0,0,0,0,0,1.0599000000000001e-05,0,0.24369000000000002,0,0,1.8194000000000001e-09,0,0,5.0137e-12,0,0.74235,4.1133e-07,0,0.043856,4.4926000000000004e-07,0.8633200000000001,0.74833,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,28.592981774161284
8,0,0.00031921,0,0,0,0,0,0.32521,0,0.0033731,0,0,0.34157,0,0,7.6024e-06,0,0.72543,8.745800000000001e-10,0,0.015309999999999999,0.00080514,0.15123,0.85659,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,25.622237355863977
9,0,2.1242999999999997e-08,0,0,0,0,0,0.62429,0,1.9120000000000002e-07,0,0,2.6691000000000004e-06,0,0,1.1314e-09,0,1.2814,0.02677,0,0.26281,6.2677e-09,0.1094,0.8373200000000001,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,26.334746745757236
