,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.5606e-08,0,0,0,0,0,0,0,1.6125e-08,0.26949,0.78806,0.49786,2.1506e-10,0,1.9508e-13,0,0,0,0.02521,0.00010622,1.5791999999999998e-06,0.40231999999999996,0,0.050285,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,3.7951678453723883
1,0,2.9089e-08,0,0,0,0,0,0,0,0.20578000000000002,4.435600000000001e-05,0.7330899999999999,3.2584000000000002e-09,0.31371,0,2.4711e-11,0,0,0,0.23634000000000002,0.23196,0.00086243,0.9848299999999999,0,0.17359000000000002,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,12.976623266304745
2,0,0.26695,0,0,0,0,0,0,0,0.27376999999999996,0.0010537,0.00011079999999999998,0.62717,9.077700000000001e-13,0,5.3952e-05,0,0,0,9.3199e-05,0.25837,0.0026048,1.2297,0,2.1401e-07,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,9.276349760372664
3,0,8.748700000000001e-11,0,0,0,0,0,0,0,0.012378,7.3968e-09,0.47448999999999997,0.58445,1.6216999999999998e-07,0,0.00063037,0,0,0,0.0079016,0.0030666,0.00026593,0.88274,0,6.282699999999999e-10,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,3.921163356007483
4,0,3.2337e-08,0,0,0,0,0,0,0,0.00016136,1.643e-09,0.47607,0.58157,1.1464e-09,0,2.4515000000000003e-10,0,0,0,0.21611999999999998,0.14311,0.00030674,0.9603,0,0.00026132,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,6.804805175308511
5,0,0.073047,0,0,0,0,0,0,0,0.12211,0.033262,0.60383,0.026655,2.3968000000000004e-07,0,1.3365e-07,0,0,0,6.7810000000000005e-09,7.5553e-08,3.8024e-08,1.0646,0,0.1996,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,5.322241990652898
6,0,2.7751e-08,0,0,0,0,0,0,0,9.632799999999998e-07,0.32698,0.70616,0.029779000000000003,0.34776,0,1.8872999999999998e-10,0,0,0,0.15553,0.0052809,0.00038554,0.69039,0,0.12561,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,8.265745121614417
7,0,3.7129000000000003e-09,0,0,0,0,0,0,0,5.0204e-07,0.52391,0.38076,1.7776e-10,0.16341,0,3.9575e-06,0,0,0,0.56338,7.9131e-05,1.0539e-05,1.7113,0,0.21247,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,7.7762386578971885
8,0,0.10649000000000002,0,0,0,0,0,0,0,0.25626,0.00013301,0.29323,0.6471399999999999,3.6363e-09,0,2.7685e-08,0,0,0,0.14468,0.0016569000000000002,2.7229e-05,1.0359,0,0.00046851,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,4.055078011188549
9,0,0.009475200000000001,0,0,0,0,0,0,0,0.0022327,2.6418000000000003e-07,0.3586,6.9402999999999994e-06,0.0012328,0,8.541499999999999e-09,0,0,0,5.5243e-08,0.48936,2.4963000000000003e-08,1.0531,0,0.38038,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,16.17958528060259
