,PC OD,PJ OD,BV OD,BF OD,BO OD,BT OD,BC OD,BY OD,BU OD,DP OD,BL OD,BA OD,BP OD,CA OD,EL OD,FP OD,CH OD,AC OD,BH OD,CG OD,ER OD,RI OD,CC OD,DL OD,DF OD,PC,PJ,BV,BF,BO,BT,BC,BY,BU,DP,BL,BA,BP,CA,EL,FP,CH,AC,BH,CG,ER,RI,CC,DL,DF,Butyrate
0,0,1.0339,0,0,0,0,0,0,0,0,0,0,0,0,0.033625,8.1604e-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.7102045617249811
1,0,0.6611,0,0,0,0,0,0,0,0,0,0,0,0,0.00020284,0.75285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.46658896704907465
2,0,0.49991,0,0,0,0,0,0,0,0,0,0,0,0,0.52503,9.2027e-05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.292077226499305
3,0,1.0875,0,0,0,0,0,0,0,0,0,0,0,0,0.2986,0.54192,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.6416189945219126
4,0,0.9850399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.9959899999999999,0.21506999999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.724925386778738
5,0,0.82957,0,0,0,0,0,0,0,0,0,0,0,0,0.00038329,0.074757,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4679042750381235
6,0,0.3833,0,0,0,0,0,0,0,0,0,0,0,0,0.093682,6.035800000000001e-06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.147962676982969
7,0,1.0864,0,0,0,0,0,0,0,0,0,0,0,0,0.033536,0.13610999999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.7095558368093516
8,0,1.0489,0,0,0,0,0,0,0,0,0,0,0,0,0.0096842,0.022328999999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5356990172294446
9,0,1.0822,0,0,0,0,0,0,0,0,0,0,0,0,0.0070076999999999995,1.8421e-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5161898909745867
